chinese,math,english,total,school,ifpass
117,60,40,288,482,1
137,107,123,31,340,0
92,106,93,52,681,0
78,130,40,32,482,0
126,127,116,107,448,1
70,77,82,143,414,0
124,31,123,46,589,0
128,134,120,55,689,0
89,144,50,232,626,0
84,120,104,89,606,0
121,123,47,289,529,0
75,47,113,212,428,1
124,103,42,269,644,0
120,57,122,288,534,0
79,98,87,128,356,1
67,93,82,114,603,0
69,128,124,56,553,0
83,106,147,275,357,0
89,125,111,293,628,0
97,75,105,124,517,0
83,102,54,49,643,0
101,138,128,224,396,0
76,42,46,123,656,0
143,109,64,278,345,0
115,33,93,45,375,0
138,119,89,128,565,0
79,84,65,213,639,0
86,57,126,239,611,0
132,68,65,248,334,0
95,36,113,203,517,0
70,95,68,111,457,0
144,150,44,182,515,1
68,116,78,238,584,0
138,83,111,88,627,0
121,69,125,172,630,0
144,123,60,44,636,0
124,113,107,260,411,0
62,135,136,263,575,1
129,76,85,222,326,0
101,132,104,211,342,0
77,136,68,292,315,0
100,67,149,167,698,0
103,80,109,44,412,0
86,72,100,77,590,0
107,142,142,207,578,1
127,82,118,83,518,0
141,122,117,112,470,1
83,130,44,214,687,0
144,82,73,116,443,0
130,100,44,297,565,1
66,119,124,151,441,1
127,69,132,247,650,0
98,120,92,78,487,0
68,31,86,297,449,1
146,103,99,86,695,0
102,148,57,211,535,0
143,144,124,70,302,0
86,139,77,276,385,0
103,110,105,174,389,0
123,30,68,225,437,1
71,137,135,235,685,0
98,31,90,164,351,1
139,43,104,258,655,0
109,52,117,139,609,0
117,90,141,73,475,0
90,126,146,116,412,0
104,48,133,31,302,1
77,137,100,280,398,0
78,147,99,286,383,0
107,135,116,68,659,0
63,108,110,169,700,0
92,131,70,182,541,0
74,109,149,292,597,1
103,80,141,177,302,0
78,132,42,77,577,0
73,96,102,230,372,0
101,66,120,70,535,0
87,107,143,196,302,0
71,128,81,88,514,0
98,51,77,215,667,0
125,55,83,61,360,0
63,143,49,238,698,0
127,54,149,166,343,0
144,63,53,198,348,0
60,86,47,40,631,0
122,131,108,60,342,0
140,61,57,64,475,0
88,92,64,158,496,0
94,116,100,123,305,0
103,144,107,140,628,0
147,133,111,250,430,0
119,74,50,227,503,0
133,80,40,146,337,0
136,93,119,277,531,0
69,56,103,205,422,1
110,136,104,163,470,1
74,145,110,189,667,0
86,148,77,285,576,1
84,35,150,187,652,0
83,76,75,120,500,0
110,39,133,259,643,0
115,98,106,218,444,0
131,148,146,191,399,0
130,103,117,172,530,0
143,38,76,214,585,0
94,51,58,161,392,0
112,36,81,258,362,0
126,97,137,129,555,0
100,112,138,290,648,0
73,41,118,130,505,0
141,74,113,243,418,0
60,148,109,58,336,1
90,97,62,107,538,0
72,144,50,263,696,0
116,150,57,295,588,1
130,100,63,236,568,0
77,131,87,227,660,0
70,46,90,80,477,0
109,78,40,126,478,0
73,40,40,117,332,0
82,58,121,297,563,0
113,121,47,45,494,0
138,124,119,219,511,0
98,124,142,49,488,0
80,67,149,171,620,0
97,62,92,70,680,0
123,88,136,234,448,0
142,69,80,215,700,0
139,139,47,44,507,0
94,80,82,149,503,0
67,44,135,241,448,1
81,116,114,131,469,0
81,123,140,243,576,1
131,62,98,208,308,0
111,107,135,194,470,0
86,111,81,235,693,0
61,132,101,245,667,0
114,72,50,265,574,0
109,137,86,151,364,0
142,112,55,181,642,0
140,45,40,225,454,0
102,62,86,222,659,0
99,81,79,205,378,0
142,103,42,176,394,0
110,145,51,180,628,0
66,34,136,132,574,0
102,46,94,126,408,0
149,131,106,191,530,1
146,116,99,49,612,0
80,38,40,49,502,0
75,84,131,161,698,0
118,31,126,243,417,0
83,124,45,207,386,0
102,78,86,210,363,0
136,66,61,266,684,0
107,66,85,261,466,0
149,35,131,137,468,0
71,113,58,50,313,0
68,104,67,51,567,0
71,135,124,196,487,1
108,44,149,167,315,0
72,114,141,91,322,0
70,130,97,162,351,0
106,108,45,43,633,0
120,86,118,247,338,0
88,63,109,286,389,0
84,138,63,202,694,0
107,122,40,40,359,0
113,51,89,288,687,0
112,94,120,158,319,0
108,72,125,278,661,0
96,55,114,252,639,0
86,104,107,238,366,0
62,89,89,204,471,0
112,32,126,187,621,0
114,141,76,185,697,0
133,30,146,291,481,0
66,134,117,216,357,0
64,94,62,208,581,0
142,104,42,91,528,0
104,40,74,31,383,0
140,115,96,221,428,0
144,82,149,89,564,0
114,86,149,261,508,0
143,116,45,246,433,0
94,98,52,79,345,0
66,111,150,284,646,0
93,48,108,152,456,0
124,52,45,74,500,0
102,125,99,293,394,0
93,83,87,43,343,0
139,61,77,142,549,0
80,107,100,38,457,0
110,99,70,190,407,0
78,56,110,68,686,0
75,73,100,295,421,0
126,35,65,297,497,1
113,31,94,189,674,0
117,93,59,264,688,0
112,111,126,231,523,0
82,50,49,136,647,0
107,71,107,34,516,0
86,61,53,228,487,0
109,56,51,124,387,0
73,32,78,139,311,1
124,130,88,97,319,0
114,81,49,111,488,0
145,111,94,142,334,0
106,140,89,39,621,0
86,144,101,168,588,0
65,98,40,246,412,1
65,74,56,85,480,0
69,64,63,114,384,0
86,76,119,255,593,0
111,80,121,239,674,0
94,69,99,238,657,0
112,75,92,99,407,0
137,38,99,186,326,0
131,55,65,157,453,0
61,94,62,255,609,0
113,74,106,162,523,0
143,66,104,173,659,0
126,143,74,300,689,0
121,108,92,66,490,0
84,46,54,154,499,0
149,75,68,177,638,0
120,46,128,146,636,0
130,69,145,128,458,1
89,87,122,128,687,0
65,82,143,62,512,0
86,37,131,247,550,0
114,66,137,270,576,1
142,131,116,127,460,0
71,97,52,90,463,0
91,62,138,277,349,0
148,140,78,58,418,1
132,80,77,131,373,1
133,67,100,113,597,0
101,88,69,93,616,0
119,100,147,166,557,0
79,66,82,103,492,0
62,89,52,124,442,0
78,75,51,251,525,0
78,62,96,273,684,0
117,113,93,98,349,0
68,144,116,279,539,0
73,110,89,235,389,0
116,46,81,145,480,0
120,127,62,103,439,0
106,62,88,132,686,0
70,88,64,100,557,0
136,78,132,258,610,0
126,90,63,169,533,0
96,85,128,232,373,0
69,71,53,249,440,1
122,72,142,159,314,0
143,141,55,201,505,1
94,111,51,263,696,0
139,117,146,279,371,0
122,35,83,260,651,0
105,118,129,131,550,0
124,140,117,168,570,0
122,119,54,151,334,0
131,37,98,96,514,0
144,79,69,41,644,0
81,69,68,113,555,0
67,41,131,45,439,0
84,137,75,34,424,0
81,143,119,98,371,0
126,135,139,259,542,0
101,53,127,86,368,0
144,92,146,254,511,0
115,148,142,263,314,0
97,137,145,167,556,0
142,43,107,44,535,0
142,37,136,279,635,0
78,127,59,110,457,0
134,125,122,183,495,0
150,100,41,188,401,0
104,122,136,33,351,1
133,78,92,123,424,1
140,99,120,101,325,0
78,90,82,222,409,0
119,88,72,177,660,0
120,145,51,52,504,0
93,78,104,127,359,1
65,147,141,194,588,0
77,124,117,229,410,0
91,80,91,163,384,1
143,107,70,221,429,0
99,66,122,223,675,0
95,146,113,47,434,0
66,66,141,140,312,0
135,56,121,270,351,0
150,131,118,263,451,0
64,40,57,38,577,0
106,51,123,185,503,0
62,87,52,59,454,0
67,54,77,234,493,0
92,51,128,273,345,0
127,91,85,226,578,0
98,119,56,155,353,0
115,147,87,257,397,0
86,48,71,170,477,0
92,77,95,118,391,0
107,55,137,235,416,0
93,144,92,66,660,0
124,73,88,132,517,0
73,49,80,68,652,0
110,124,88,237,664,0
84,135,114,157,552,0
88,49,106,246,571,0
67,84,126,106,350,1
135,109,48,53,400,0
80,130,42,133,360,1
82,123,55,78,529,0
90,118,61,213,355,0
104,129,53,155,336,0
115,84,145,172,347,0
92,45,95,238,322,0
149,38,148,169,698,0
91,69,95,204,343,0
95,30,46,240,688,0
115,116,54,196,669,0
143,133,127,50,669,0
65,67,70,288,559,0
149,119,148,117,476,0
95,133,136,179,309,0
92,104,100,88,638,0
114,45,142,130,637,0
112,82,101,274,539,1
104,149,138,36,516,0
100,143,66,49,487,0
124,67,48,101,427,0
112,142,58,126,527,0
103,37,132,43,604,0
99,59,113,70,686,0
62,110,95,158,313,0
105,99,50,118,496,0
96,34,134,55,608,0
104,76,125,236,416,0
123,53,124,203,572,0
141,111,126,137,493,1
103,72,68,61,311,0
74,109,61,68,685,0
63,122,140,124,406,1
119,113,133,94,587,0
127,90,81,126,347,0
146,129,59,192,407,0
61,120,59,81,402,0
118,133,146,254,464,0
123,64,73,39,495,0
91,97,96,274,650,0
110,122,123,252,669,0
102,36,52,273,627,0
62,44,123,285,421,0
124,105,128,250,587,1
131,111,54,84,402,0
143,51,132,197,302,0
136,145,44,266,568,1
119,31,73,144,535,0
104,73,86,222,413,0
128,120,51,139,666,0
95,56,81,264,435,0
118,130,116,202,482,0
113,62,100,135,587,0
87,89,149,222,310,0
98,135,113,45,611,0
134,108,128,82,637,0
80,48,131,222,344,0
66,61,111,221,505,0
148,124,73,141,438,1
114,109,126,222,676,0
63,36,51,226,585,0
120,96,126,258,531,0
96,87,45,132,325,1
136,44,84,236,598,0
129,113,50,276,616,0
104,137,125,269,334,0
73,46,102,59,686,0
125,36,115,198,391,0
61,114,75,136,468,0
137,134,96,291,367,0
113,130,131,254,451,0
119,63,118,167,334,0
88,126,136,299,418,0
95,111,101,273,516,0
121,136,135,132,581,0
96,91,122,257,644,0
116,126,114,42,308,0
136,55,81,260,478,0
102,136,110,284,381,0
96,39,133,261,363,0
121,58,53,156,625,0
102,109,150,286,334,0
137,134,92,206,332,0
115,84,62,135,442,0
82,130,130,224,658,0
77,111,138,57,647,0
96,92,134,126,313,0
68,60,127,103,674,0
138,130,150,35,548,0
139,138,48,225,409,0
150,135,73,58,642,0
101,62,90,88,408,0
150,132,95,240,357,0
109,88,146,127,498,0
129,50,89,33,387,0
146,128,60,31,665,0
66,98,115,293,471,0
146,100,130,188,684,0
149,61,97,215,397,0
100,145,76,274,321,0
68,150,66,158,593,0
134,150,48,114,576,0
117,136,79,95,510,0
81,89,122,97,340,1
84,53,80,81,337,0
74,34,47,144,366,0
108,36,97,41,691,0
72,97,45,120,681,0
115,89,68,229,577,0
136,139,69,120,320,0
91,89,107,189,455,1
68,66,81,298,393,0
119,60,115,199,578,0
71,131,69,272,353,0
103,69,45,263,492,0
135,30,80,219,590,0
81,100,137,251,539,1
96,117,78,251,598,0
136,138,141,210,437,0
114,118,77,253,384,0
129,109,61,89,690,0
61,137,65,119,458,0
62,44,44,149,558,0
103,32,83,256,670,0
83,125,127,192,508,1
105,76,145,182,458,0
120,90,73,192,607,0
131,106,143,151,369,0
143,94,53,272,560,1
83,126,66,147,642,0
126,141,115,174,471,0
96,127,117,292,454,0
98,133,72,283,632,0
139,77,53,55,509,0
129,131,118,64,328,0
100,83,47,198,665,0
61,137,117,214,625,0
148,103,78,216,507,1
117,53,97,176,516,0
109,63,40,180,545,0
68,98,117,259,665,0
140,33,62,217,611,0
121,57,44,246,425,1
72,105,112,281,605,0
67,115,100,137,324,0
91,34,52,179,480,0
131,59,83,162,376,0
88,105,90,159,351,0
125,31,82,48,347,0
79,95,63,130,380,0
65,47,59,111,686,0
124,36,94,62,418,0
138,33,95,184,387,0
86,138,110,49,318,0
73,72,95,105,508,0
133,101,61,161,678,0
116,128,129,36,585,0
61,124,147,243,310,0
118,32,113,257,564,0
147,32,65,225,352,0
73,136,115,266,466,0
129,135,134,45,314,0
130,113,135,175,631,0
91,69,114,191,591,0
88,145,91,65,576,0
66,140,132,41,608,0
80,140,94,107,335,0
88,117,143,173,342,0
118,88,49,170,654,0
112,129,111,249,541,0
94,67,43,267,358,0
138,94,107,58,633,0
142,90,95,278,398,0
116,143,138,231,324,0
140,106,106,141,442,0
92,59,53,262,690,0
62,71,60,174,482,0
96,118,41,276,395,0
97,116,69,127,452,0
74,81,84,212,416,1
114,110,123,254,595,1
116,61,143,246,392,0
145,130,64,236,655,0
132,139,71,266,453,0
143,112,72,50,404,0
117,83,126,174,631,0
142,33,98,240,563,0
102,89,40,270,628,0
122,35,82,50,408,0
135,92,144,57,689,0
129,76,80,137,367,0
92,37,114,164,678,0
136,74,65,147,392,1
63,58,95,195,393,1
143,36,42,107,359,0
93,110,45,155,597,0
131,68,100,109,389,1
99,128,96,82,435,0
106,135,77,136,401,0
83,144,82,85,314,0
108,138,81,297,433,0
103,95,145,203,522,1
139,49,86,268,697,0
121,146,79,32,361,1
82,80,130,50,467,0
120,36,141,159,306,0
112,46,130,168,628,0
136,62,146,177,594,0
85,122,119,100,322,0
116,71,88,241,692,0
141,95,107,290,508,0
61,149,41,66,302,1
81,144,125,60,654,0
92,87,70,158,470,0
65,136,59,70,310,1
127,147,44,156,531,0
145,107,56,225,351,0
69,132,132,143,450,1
76,105,139,188,389,0
127,50,112,112,578,0
127,38,101,252,645,0
112,119,144,186,437,0
81,115,81,256,688,0
105,86,65,197,477,0
118,42,55,276,456,1
125,129,75,266,381,0
147,141,137,300,493,0
93,117,98,294,482,0
137,35,141,109,614,0
128,47,74,151,402,0
89,124,62,54,324,1
65,70,83,232,697,0
62,115,67,147,581,0
108,114,110,191,663,0
60,106,121,230,473,1
86,97,62,185,654,0
86,59,145,190,699,0
111,82,100,91,539,0
66,117,143,86,679,0
84,83,114,106,620,0
122,93,89,104,689,0
62,73,92,115,388,0
117,61,105,111,340,0
64,78,108,272,631,0
121,66,86,243,351,0
62,48,80,271,534,0
92,47,65,116,614,0
118,61,145,218,459,0
74,79,124,297,463,0
124,126,73,43,693,0
95,74,58,111,675,0
66,130,132,31,603,0
147,54,48,141,403,0
66,81,124,182,303,0
110,84,61,118,696,0
135,47,64,174,303,0
133,92,108,236,685,0
129,87,44,129,684,0
139,119,95,69,544,0
110,87,106,203,453,0
146,61,52,111,336,1
86,123,96,102,458,0
125,51,46,122,661,0
79,86,147,254,324,0
143,94,148,89,549,0
97,72,144,103,693,0
88,126,54,62,696,0
108,55,134,279,304,0
84,114,111,293,647,0
67,60,90,172,504,0
75,72,65,35,460,0
99,129,58,204,310,0
136,133,76,162,313,0
117,144,54,297,596,1
84,51,52,216,624,0
86,126,78,87,643,0
124,150,61,58,516,0
77,137,131,134,500,0
71,133,56,297,614,0
116,125,77,268,484,0
114,78,72,108,457,0
83,118,84,284,494,0
89,90,146,257,460,0
134,83,120,246,499,0
140,30,110,258,681,0
147,49,103,236,536,0
97,92,147,284,413,0
89,86,72,133,392,0
133,69,52,224,388,0
73,78,86,216,584,0
60,138,60,210,413,0
130,74,45,245,452,1
140,32,143,131,580,0
125,113,43,102,351,1
98,141,114,222,455,0
71,81,63,126,464,0
92,150,95,49,490,0
72,43,105,190,590,0
110,70,119,236,691,0
130,118,148,283,378,0
82,72,79,118,536,0
131,113,74,179,509,0
97,39,68,76,374,0
118,99,139,227,554,1
141,78,54,264,456,0
73,73,87,298,317,0
148,59,123,69,483,0
128,42,66,110,369,0
90,62,123,48,635,0
82,54,73,68,523,0
145,134,50,232,306,0
81,124,48,167,667,0
101,143,95,54,613,0
101,135,132,290,669,0
117,103,133,235,608,0
67,72,88,201,349,0
117,148,112,294,452,0
115,94,77,183,655,0
112,85,52,128,324,0
99,114,107,56,638,0
109,42,62,83,473,0
100,143,70,54,589,0
65,71,107,155,614,0
61,114,70,106,634,0
75,69,144,167,488,0
137,76,137,140,576,0
65,92,57,222,519,0
130,46,141,181,415,0
90,33,55,52,409,0
71,150,67,44,663,0
135,78,130,161,629,0
138,67,103,240,518,1
128,83,138,224,498,0
100,137,110,59,553,0
112,107,96,43,605,0
112,68,110,216,342,0
133,111,149,231,367,0
144,109,115,90,572,0
90,80,81,32,637,0
90,111,49,45,667,0
127,136,98,293,663,0
147,109,117,117,410,0
129,78,126,118,472,0
112,118,125,289,538,0
91,112,81,235,520,0
68,41,109,157,378,0
143,55,105,44,436,0
81,44,133,170,319,0
74,76,131,245,353,0
106,111,150,139,693,0
127,123,119,156,673,0
64,149,66,120,308,0
137,50,64,117,568,0
104,85,45,111,344,1
62,55,142,277,479,0
134,132,59,242,617,0
140,127,103,37,559,0
138,122,54,44,669,0
105,66,91,82,402,0
144,33,131,36,699,0
64,77,101,131,323,0
139,140,52,195,508,1
111,71,74,36,502,0
120,75,73,88,358,0
113,44,53,205,358,0
98,125,65,254,598,0
108,60,116,194,308,0
66,71,128,280,547,0
90,84,83,177,547,0
145,134,54,281,337,0
62,32,149,109,629,0
80,112,103,281,356,0
145,41,119,93,577,0
72,143,109,143,306,0
134,137,102,129,613,0
134,143,135,213,402,0
102,90,46,240,326,0
132,75,62,240,441,0
107,136,86,66,619,0
136,121,86,180,473,0
103,144,98,89,690,0
131,89,130,291,653,0
133,86,68,32,595,0
94,109,126,130,570,0
120,94,61,34,415,0
81,58,85,251,435,1
96,89,133,37,402,0
122,48,81,187,468,0
103,80,86,159,569,0
89,43,114,223,358,0
124,37,55,193,480,0
80,37,130,222,369,0
83,148,100,179,535,0
120,111,81,124,473,0
77,67,144,140,554,0
67,114,131,296,362,0
110,39,106,256,381,0
88,120,115,95,673,0
73,92,117,70,588,0
148,71,66,90,330,1
108,58,58,143,303,0
71,33,109,192,613,0
117,41,81,247,363,0
119,133,116,282,595,0
126,67,142,297,627,1
64,79,63,156,358,1
143,145,47,85,438,0
127,56,63,142,446,0
113,127,107,148,522,0
132,53,107,283,525,0
114,118,125,76,369,0
132,55,140,298,558,0
83,71,144,195,573,0
138,104,63,219,464,0
111,113,87,56,433,0
103,37,115,37,343,0
147,86,74,42,525,0
82,147,107,264,503,0
116,31,60,265,583,0
120,93,48,64,411,0
112,103,45,253,635,0
65,82,45,123,487,0
135,136,145,81,685,0
84,126,135,132,323,0
89,68,97,61,389,0
118,51,104,82,598,0
137,94,55,294,646,0
95,62,63,134,324,1
131,103,100,161,421,0
90,56,87,94,428,0
97,64,80,143,338,1
90,30,114,165,482,0
76,116,71,181,526,0
89,37,70,217,565,0
144,150,118,188,546,0
116,72,87,113,376,1
114,121,129,199,551,1
109,52,76,137,429,0
90,37,139,146,640,0
113,90,134,185,650,0
134,87,150,108,460,1
144,86,63,165,397,0
109,32,109,217,550,0
76,145,62,244,412,0
122,71,82,216,682,0
97,121,45,68,302,1
105,56,72,106,301,1
119,68,75,30,518,0
88,96,135,156,332,0
117,101,100,224,462,0
118,130,124,245,330,0
96,131,68,172,581,0
112,49,44,240,615,0
148,144,114,281,322,0
111,91,47,53,386,0
70,61,61,281,600,0
138,53,127,43,425,0
68,110,43,161,440,0
96,148,142,233,416,0
118,40,122,291,693,0
96,104,46,131,561,0
136,140,55,139,580,0
115,41,58,293,446,0
98,91,56,90,607,0
72,48,122,135,469,0
85,57,77,259,474,1
112,86,116,272,623,0
112,116,149,91,464,1
61,90,44,220,683,0
121,112,119,234,486,0
101,127,67,82,445,0
141,149,105,170,662,0
77,80,123,156,646,0
138,77,42,166,558,0
98,114,51,283,681,0
146,94,90,218,542,1
96,41,116,123,393,0
110,86,99,102,493,0
86,45,100,30,450,0
77,133,93,112,601,0
135,47,78,282,529,1
64,74,144,193,414,0
69,90,86,218,614,0
90,92,95,196,381,0
74,132,65,138,511,0
60,63,67,131,565,0
127,55,108,203,329,0
60,113,136,280,470,0
96,55,65,210,395,1
148,128,97,138,629,0
64,109,51,269,490,1
111,81,40,73,448,0
146,65,56,285,348,0
97,139,122,136,578,0
117,79,105,115,470,0
79,35,42,91,332,0
72,104,71,31,412,0
91,71,86,147,403,0
66,143,78,249,312,0
114,122,135,228,356,0
70,46,96,287,453,1
67,99,106,88,597,0
126,100,104,122,537,0
77,59,82,185,654,0
117,104,59,265,588,0
85,63,120,238,521,0
60,86,60,191,399,0
142,101,58,48,412,0
81,30,125,212,568,0
91,47,149,128,662,0
77,59,68,127,421,0
136,128,97,258,440,0
93,64,43,211,524,0
105,35,137,235,413,0
114,122,75,150,546,0
125,142,86,72,357,0
131,147,120,284,572,0
70,89,42,138,674,0
85,83,86,74,639,0
109,43,116,37,338,0
136,83,111,87,330,0
133,44,55,83,357,0
92,106,105,178,394,0
61,79,74,101,679,0
99,144,131,125,523,0
134,59,48,293,380,0
102,105,103,198,608,0
114,40,105,173,621,0
76,85,75,98,449,0
87,88,53,167,558,0
60,116,57,196,304,0
134,57,72,299,443,0
77,100,53,132,620,0
138,57,137,268,474,0
96,41,133,204,604,0
146,115,40,54,680,0
108,109,142,262,684,0
99,64,69,158,658,0
63,54,67,49,344,0
74,82,124,81,492,0
90,132,121,100,450,0
150,116,143,206,693,0
112,116,49,157,459,0
74,120,102,75,318,0
99,96,53,32,451,0
134,84,101,296,506,0
103,81,88,39,467,0
101,92,111,177,673,0
132,145,129,65,503,0
61,71,71,32,315,0
92,131,128,203,381,0
141,149,131,274,687,1
120,88,67,103,542,0
121,48,56,46,639,0
101,107,40,47,624,0
123,85,75,275,501,0
84,106,147,251,679,0
72,87,59,31,616,0
108,53,112,109,564,0
74,136,49,97,612,0
127,110,110,141,372,0
148,106,87,185,538,0
125,128,114,121,636,0
140,77,104,296,686,0
81,44,107,109,341,0
85,142,148,210,539,1
150,122,129,161,694,0
73,66,149,248,339,0
115,143,79,284,676,0
80,85,112,88,439,0
131,42,114,251,614,0
134,80,64,266,638,0
89,44,143,198,525,0
84,57,67,225,313,0
131,94,131,63,349,0
99,139,147,171,355,0
108,36,101,229,699,0
131,61,86,86,454,0
137,101,51,34,503,0
115,129,90,298,479,0
133,47,44,131,437,0
108,64,87,136,633,0
133,54,42,38,361,0
137,119,63,282,410,0
61,136,122,256,300,0
112,125,95,262,487,0
95,73,52,70,589,0
128,71,54,221,399,0
103,93,143,122,559,0
104,38,94,44,460,0
103,81,108,92,594,0
127,44,61,224,404,0
88,143,81,292,695,0
73,84,100,147,524,0
140,76,142,231,603,0
130,97,120,95,631,0
136,82,42,295,528,1
73,124,138,37,500,0
62,67,140,128,640,0
138,129,80,189,454,0
96,59,80,159,484,0
62,49,51,191,506,0
100,84,126,88,620,0
107,149,122,220,326,0
130,68,132,194,301,0
113,146,120,69,461,0
72,36,128,45,462,0
64,30,68,209,432,0
99,100,56,290,442,0
90,33,41,248,341,0
66,118,143,91,531,0
64,49,74,59,336,0
62,63,46,122,551,0
91,133,70,132,671,0
131,105,122,265,568,0
74,52,131,293,401,0
65,133,73,195,676,0
150,108,53,158,584,0
147,33,46,138,699,0
142,79,120,32,578,0
71,36,69,276,374,0
114,143,110,31,486,0
119,87,131,37,322,0
79,64,114,260,452,0
114,67,109,196,312,0
97,81,96,101,508,0
