chinese,math,english,total,school,ifpass
114,117,83,200,311,0
99,120,108,296,300,0
63,72,76,80,497,0
87,137,85,186,340,0
87,87,139,71,533,0
114,72,65,139,700,0
130,140,92,292,459,0
97,50,138,86,578,0
100,55,42,211,546,0
69,43,80,107,469,0
65,138,63,61,381,0
127,47,103,44,416,0
115,127,148,249,655,0
97,30,69,171,525,0
147,52,111,229,509,1
62,50,63,139,633,0
87,87,63,225,389,0
89,148,65,300,321,0
111,30,84,99,596,0
62,73,122,60,543,0
93,99,101,65,571,0
94,37,56,177,546,0
146,92,54,275,599,0
102,113,126,94,584,0
86,114,71,210,637,0
68,125,140,213,692,0
115,114,54,125,698,0
148,113,145,149,397,0
93,42,119,152,461,0
63,36,108,145,489,0
90,39,120,261,445,0
95,101,124,139,424,1
115,96,131,102,534,0
64,91,73,128,644,0
108,66,102,139,527,0
105,93,141,80,436,0
136,79,92,166,507,0
127,59,73,194,424,1
120,56,53,42,516,0
121,46,120,201,594,0
117,62,146,250,397,0
104,69,70,176,496,0
75,140,101,48,494,0
137,52,70,72,491,0
120,78,140,209,398,0
110,65,102,276,302,0
146,57,108,105,418,0
73,62,126,43,547,0
74,78,77,163,446,0
94,94,42,137,481,0
140,140,40,245,318,0
62,79,124,31,430,0
74,35,67,176,481,0
147,78,80,144,700,0
100,147,141,150,414,0
66,87,77,71,315,0
71,136,112,176,379,0
102,60,46,248,304,0
131,78,143,162,350,0
148,87,148,47,404,1
90,99,81,235,482,1
73,111,98,91,503,0
121,75,144,48,660,0
150,144,126,101,631,0
130,144,68,123,688,0
134,58,97,111,528,0
149,139,148,244,319,0
75,73,74,36,327,0
117,94,137,43,342,1
96,39,64,33,513,0
116,55,101,277,568,0
85,63,145,155,544,0
95,51,48,294,524,0
110,105,150,178,611,0
98,103,126,94,459,0
67,41,102,286,509,0
102,100,91,259,306,0
62,53,125,223,340,0
109,94,53,189,525,0
92,58,104,209,426,1
124,99,140,251,531,0
109,51,47,87,591,0
142,142,130,119,541,0
140,142,140,58,420,0
149,121,134,224,482,0
89,76,138,90,643,0
94,83,88,71,492,0
133,71,108,231,325,0
61,142,114,118,698,0
107,137,96,290,666,0
61,38,122,51,489,0
81,51,76,110,694,0
133,114,80,46,579,0
130,53,140,62,516,0
75,99,44,123,481,0
79,54,134,174,335,0
108,80,106,129,670,0
98,37,105,124,423,0
120,145,96,266,581,1
94,89,147,273,642,0
136,33,102,84,631,0
89,107,93,132,427,0
87,98,108,140,514,0
87,142,141,159,384,0
139,32,95,248,450,0
149,131,83,96,671,0
138,34,115,161,646,0
130,79,56,285,512,1
139,118,64,297,549,0
70,46,71,102,577,0
126,67,80,252,529,0
61,79,44,230,408,1
107,84,83,194,437,1
62,127,145,107,361,0
109,65,142,116,431,1
84,117,147,194,308,0
147,129,149,106,401,0
121,94,85,101,319,0
103,106,107,98,353,0
110,121,150,275,463,0
113,91,141,289,408,0
81,71,105,277,654,0
77,67,144,120,685,0
145,81,57,131,684,0
147,43,119,287,519,0
76,129,78,148,692,0
133,55,108,218,315,0
76,76,137,180,522,0
87,62,130,41,689,0
81,103,100,134,567,0
118,43,52,83,465,0
129,96,131,127,314,0
83,111,96,173,517,0
108,44,75,110,485,0
133,91,104,240,465,0
116,142,108,272,615,1
119,99,138,48,636,0
130,39,97,270,691,0
114,132,45,89,477,0
143,67,93,211,696,0
86,36,44,37,401,0
76,47,134,194,301,0
115,97,130,155,520,0
117,71,74,217,615,0
135,82,62,88,339,1
140,125,148,205,649,0
80,106,59,212,300,0
134,88,74,147,510,0
61,98,141,198,677,0
61,50,98,260,577,0
71,63,80,273,698,0
119,134,78,249,397,0
124,85,105,282,507,0
120,150,60,267,422,0
99,40,103,238,673,0
142,110,49,231,378,0
144,129,85,48,578,0
88,68,58,292,491,1
61,78,68,124,381,0
115,101,119,203,674,0
94,80,121,135,400,1
136,92,116,104,305,0
112,57,105,105,333,1
110,71,93,209,414,0
90,32,82,258,576,0
104,90,45,216,645,0
115,49,94,115,610,0
133,92,88,40,341,1
124,128,113,289,534,0
71,117,43,161,647,0
82,137,63,60,501,0
96,40,65,212,499,0
116,37,138,269,463,0
99,146,47,34,312,1
117,60,69,81,620,0
84,83,68,229,691,0
71,43,67,157,382,0
120,105,128,193,384,0
134,83,86,291,637,0
142,88,42,294,660,0
60,116,139,157,363,0
102,37,147,154,325,0
70,50,63,166,465,0
140,80,41,234,419,0
76,101,52,98,339,0
131,49,77,54,516,0
96,41,104,165,512,0
117,112,104,288,570,0
97,85,88,191,372,0
100,44,149,270,370,0
63,54,93,158,352,1
108,79,41,173,545,0
140,68,80,171,321,0
97,80,71,297,338,0
65,77,67,222,608,0
118,96,49,188,540,0
145,93,60,59,499,0
136,102,150,91,374,0
110,110,83,219,647,0
130,71,87,49,557,0
110,108,75,224,559,0
91,48,91,291,647,0
67,92,92,30,412,0
137,79,128,32,601,0
123,144,79,276,464,0
90,113,141,166,305,0
122,104,103,207,431,0
68,123,69,152,598,0
90,145,117,289,407,0
112,74,60,266,514,0
64,111,145,117,700,0
119,115,76,192,687,0
147,89,102,41,481,0
137,141,144,156,361,0
82,140,68,166,640,0
106,103,44,193,566,0
119,62,133,61,680,0
110,36,130,246,514,1
92,74,93,51,566,0
114,148,78,114,427,1
117,131,50,199,516,0
95,70,58,71,646,0
67,55,127,224,339,0
132,143,97,215,557,1
136,49,96,152,638,0
113,54,99,198,578,0
146,42,43,258,552,0
79,37,45,156,695,0
104,121,77,55,617,0
149,129,88,197,493,0
126,130,118,291,439,0
120,148,126,121,549,0
118,64,111,50,534,0
103,92,55,273,511,1
140,105,98,202,424,0
78,49,93,257,582,0
62,40,98,120,461,0
90,136,150,279,493,0
141,136,50,150,374,0
96,73,128,220,406,0
66,77,108,248,419,0
67,96,145,167,528,0
74,120,66,231,452,1
145,32,126,211,599,0
144,35,48,229,534,0
144,124,110,267,336,0
108,117,52,123,602,0
99,79,113,296,342,0
77,74,150,100,338,0
111,81,63,86,312,1
98,72,82,40,614,0
66,94,127,176,510,0
114,101,127,188,335,0
83,67,130,180,527,0
130,97,73,73,634,0
105,136,133,97,479,0
77,119,102,93,477,0
80,128,94,235,411,0
75,53,79,97,433,0
112,118,132,35,635,0
117,87,98,66,627,0
136,120,97,228,321,0
130,83,112,66,505,0
105,54,80,157,561,0
102,76,62,252,665,0
134,120,102,300,532,0
62,64,131,72,482,0
122,140,58,162,352,0
86,84,61,119,307,1
141,147,97,259,561,0
143,31,101,34,380,0
96,85,150,213,425,0
74,37,126,110,687,0
141,52,91,240,428,0
65,114,66,109,646,0
130,107,124,79,693,0
149,69,104,160,518,0
132,55,77,210,482,0
124,135,77,101,657,0
108,109,67,147,617,0
85,31,94,96,333,0
132,36,92,115,396,0
132,57,44,49,566,0
80,86,119,268,403,0
101,76,122,277,589,0
104,32,54,181,539,0
74,135,103,94,460,0
88,108,63,136,329,0
91,97,93,251,547,0
94,51,129,116,367,1
122,132,113,33,363,1
97,74,146,147,331,0
143,102,146,251,518,0
104,107,54,298,318,0
96,125,42,78,415,0
137,74,103,236,456,0
109,87,60,187,600,0
118,91,137,90,439,0
69,42,82,193,456,0
95,130,59,98,577,0
135,123,109,295,558,0
145,117,76,102,605,0
115,104,77,156,521,0
138,42,69,62,500,0
121,85,138,78,687,0
78,134,98,103,617,0
148,137,144,148,685,0
140,72,76,130,432,0
76,53,147,175,358,0
98,48,69,143,576,0
101,123,43,248,317,0
111,87,82,267,373,0
131,40,130,63,698,0
143,42,133,268,678,0
67,67,41,257,362,0
130,76,108,38,683,0
100,77,136,32,652,0
76,121,140,87,600,0
78,114,126,104,700,0
94,37,112,133,392,0
149,143,94,37,652,0
97,108,93,190,394,0
127,144,121,147,485,0
87,125,42,194,403,1
139,31,42,276,323,0
76,112,44,230,309,0
69,65,105,188,566,0
114,94,132,298,359,0
119,82,115,247,604,0
104,97,105,246,407,0
143,34,80,286,325,0
72,61,121,152,325,0
79,77,60,80,334,0
69,129,83,103,431,0
92,66,104,79,638,0
72,123,138,238,436,0
127,60,46,178,599,0
131,147,144,177,681,0
88,47,64,150,378,0
135,99,118,101,510,0
124,147,85,89,329,0
144,31,136,287,445,0
102,79,64,217,339,0
107,66,144,157,365,0
132,53,134,139,466,0
69,64,82,87,652,0
104,103,149,50,339,0
103,31,119,204,464,0
96,143,83,233,566,0
147,144,84,136,590,0
98,45,112,158,621,0
144,88,99,210,418,0
115,39,52,142,628,0
85,114,48,282,460,0
111,117,123,140,461,1
93,138,146,171,604,0
93,103,52,273,585,0
147,58,124,278,351,0
148,143,61,43,477,0
117,103,71,267,425,0
119,128,118,69,401,1
68,53,145,146,523,0
64,101,100,294,442,0
88,40,149,164,612,0
95,133,146,109,410,0
123,90,125,41,324,0
104,138,141,231,642,0
107,86,110,101,393,1
143,40,66,89,346,0
139,52,141,259,544,1
118,116,76,77,643,0
107,138,66,97,579,0
74,33,40,197,326,1
145,131,146,65,662,0
85,76,127,151,410,1
103,102,45,139,502,0
75,64,107,100,524,0
118,99,136,271,382,0
136,69,55,63,696,0
98,65,143,83,410,0
96,50,129,38,588,0
94,58,94,213,611,0
106,31,71,209,614,0
82,80,150,53,570,0
67,40,132,147,591,0
60,97,139,233,667,0
127,111,62,167,426,1
75,104,91,191,635,0
65,44,57,167,494,0
75,101,59,92,442,0
116,48,119,216,422,0
113,30,135,210,604,0
125,76,94,224,483,1
149,117,116,54,506,0
132,137,70,54,679,0
117,34,82,41,446,0
96,120,136,291,389,0
123,96,62,156,696,0
148,81,44,63,569,0
100,150,94,286,389,0
88,104,89,57,545,0
119,93,126,91,327,0
113,99,58,38,506,0
65,145,115,35,321,1
73,150,84,227,448,0
120,64,120,288,531,0
122,76,78,89,689,0
123,66,47,147,691,0
76,94,136,98,483,0
114,136,47,169,413,0
131,82,87,145,457,0
140,88,112,215,697,0
61,144,83,210,444,0
109,140,60,285,585,1
129,113,123,250,458,0
76,66,48,153,489,0
130,30,138,193,387,0
70,59,44,116,422,0
98,49,143,95,395,0
87,116,62,222,349,0
129,50,86,298,624,0
130,127,143,227,387,0
73,90,116,69,485,0
94,149,46,131,648,0
93,74,120,38,546,0
92,137,102,134,546,0
80,59,95,97,302,1
79,89,80,256,563,0
141,110,125,120,425,0
149,127,150,129,335,0
119,34,109,31,384,0
145,117,85,46,472,0
136,93,92,150,645,0
129,86,133,169,619,0
120,142,108,194,421,0
75,30,98,117,541,0
121,56,96,201,340,0
83,58,147,297,482,0
104,88,109,291,679,0
80,122,55,80,629,0
64,58,104,57,320,0
67,34,71,279,385,0
96,113,119,272,692,0
110,81,92,42,543,0
111,147,64,235,361,0
109,54,113,197,442,1
77,82,48,155,612,0
131,78,138,269,660,0
63,115,100,31,499,0
101,47,43,228,536,0
137,39,67,158,336,0
85,126,103,115,696,0
101,79,90,187,381,0
75,97,105,294,415,0
113,107,55,137,417,0
102,80,83,210,604,0
130,86,130,228,625,0
79,79,130,152,394,1
120,70,121,144,685,0
149,37,60,230,461,1
143,34,51,156,421,0
73,53,69,97,447,0
80,52,94,281,459,1
101,109,150,229,691,0
70,98,63,228,499,0
60,122,129,219,402,0
61,68,95,156,645,0
133,91,114,124,332,0
70,31,46,174,398,0
84,129,114,84,422,0
84,126,51,52,503,0
83,134,135,163,588,0
120,99,140,123,416,0
77,125,131,101,442,0
90,100,50,234,422,0
141,102,87,177,699,0
102,121,72,89,339,1
144,77,78,248,555,0
60,141,89,47,499,0
104,64,125,174,595,0
148,34,138,200,301,0
125,144,130,61,610,0
150,134,147,258,404,0
94,125,144,111,517,0
143,89,147,224,580,1
150,51,143,84,635,0
97,103,108,288,591,1
99,63,77,193,505,0
76,82,94,276,484,1
122,82,96,298,458,0
114,42,47,267,307,0
94,143,99,132,358,0
141,110,44,286,362,0
117,77,50,148,535,0
64,35,84,217,474,0
104,125,121,190,641,0
68,62,125,158,685,0
72,93,79,288,399,0
63,131,84,90,374,0
94,108,91,157,604,0
139,77,139,80,415,1
74,76,98,181,672,0
77,62,67,203,613,0
81,91,45,285,607,0
131,136,87,63,683,0
61,71,115,274,689,0
87,78,84,77,642,0
61,84,82,267,524,0
86,88,118,50,501,0
140,98,96,70,647,0
101,125,96,210,650,0
91,79,128,82,311,0
115,95,142,94,462,0
106,35,62,78,547,0
75,51,75,104,457,0
121,47,147,295,665,0
110,92,72,30,684,0
117,146,147,159,683,0
95,40,138,88,303,0
128,142,145,210,639,0
73,63,117,54,477,0
89,116,123,129,700,0
150,30,118,174,454,1
116,36,138,74,370,0
113,69,65,116,548,0
142,51,122,234,635,0
85,77,84,66,456,0
86,136,60,287,602,0
113,120,61,99,689,0
67,123,134,59,357,1
89,32,131,102,504,0
100,104,125,115,697,0
148,49,136,106,549,0
71,40,60,255,502,0
140,43,75,237,513,0
112,68,70,132,344,1
60,109,128,239,462,0
84,119,145,97,330,0
76,141,79,283,630,0
147,104,93,279,613,1
60,137,43,219,345,0
103,102,42,203,675,0
98,125,112,44,677,0
103,75,64,213,526,0
101,90,46,149,688,0
118,53,57,60,338,0
127,88,123,113,660,0
72,146,129,146,402,0
106,63,71,298,419,0
104,51,49,145,496,0
110,45,121,286,657,0
62,136,50,249,323,0
85,136,100,124,441,1
98,68,42,143,350,1
118,31,121,107,568,0
98,120,79,94,635,0
132,84,50,237,573,0
73,125,95,280,550,1
140,43,86,33,512,0
68,79,77,134,619,0
125,137,55,287,531,0
83,134,107,172,344,0
81,145,78,116,517,0
63,144,84,207,369,0
94,121,72,52,535,0
105,141,103,154,654,0
71,104,134,56,428,0
81,72,60,139,691,0
114,70,87,119,698,0
123,30,53,79,320,0
122,70,95,114,417,0
142,149,83,43,425,0
83,98,59,205,561,0
116,111,115,288,334,0
113,147,112,254,667,0
122,71,42,132,658,0
75,111,88,147,521,0
127,123,136,62,623,0
117,126,137,101,502,0
129,70,94,48,636,0
144,147,74,298,535,0
132,117,85,269,632,0
130,55,132,299,476,0
103,36,130,39,578,0
126,128,68,136,559,0
79,81,72,95,345,0
138,75,81,194,657,0
128,103,133,116,349,0
144,84,104,243,583,0
82,79,51,228,525,0
138,143,53,201,347,0
120,50,116,90,539,0
63,143,52,149,538,0
98,119,50,73,306,1
86,73,90,253,652,0
94,63,127,102,421,0
101,48,121,65,417,0
91,85,90,286,556,0
65,40,118,50,620,0
69,128,93,101,549,0
101,62,61,162,428,0
123,127,93,208,698,0
115,75,90,201,509,0
148,133,114,296,423,0
107,83,147,193,632,0
83,47,144,169,541,0
93,33,88,170,689,0
89,32,112,203,514,0
105,135,58,219,542,0
121,136,59,109,429,0
146,133,59,250,580,1
132,43,138,142,371,0
129,103,136,220,404,0
100,61,113,105,508,0
114,34,68,75,485,0
76,41,68,180,625,0
76,112,54,45,662,0
135,137,77,284,503,0
127,50,99,262,311,0
70,103,111,248,605,0
113,83,110,151,313,0
98,59,137,253,464,0
122,53,132,265,380,0
148,86,83,210,600,0
78,64,113,162,582,0
116,37,123,152,365,0
93,103,75,111,545,0
71,84,136,260,637,0
61,82,119,45,496,0
142,129,42,185,360,0
148,113,132,64,348,0
76,75,99,55,648,0
113,133,101,217,409,0
134,149,66,155,581,0
83,90,107,163,587,0
141,55,65,250,532,0
65,73,90,189,325,0
97,32,145,87,359,1
75,90,111,187,675,0
74,30,70,67,390,0
132,37,105,113,339,1
115,42,69,296,698,0
106,40,96,289,439,0
89,34,114,75,320,0
82,126,48,123,435,0
88,125,86,107,624,0
112,58,117,46,579,0
146,111,107,280,471,0
84,128,64,82,489,0
81,62,93,76,613,0
150,76,120,210,347,0
80,59,84,143,320,1
123,51,135,239,613,0
102,127,103,299,461,0
77,50,141,73,480,0
127,102,73,290,464,0
111,69,83,58,340,0
145,141,74,282,352,0
91,91,99,206,633,0
139,40,134,265,608,0
83,121,73,274,414,0
142,61,81,96,513,0
121,41,107,184,351,0
146,122,50,193,499,1
146,74,122,90,316,0
86,139,84,44,625,0
70,45,41,134,484,0
100,55,89,67,423,0
81,91,112,222,654,0
82,128,92,203,384,0
68,142,134,245,349,0
98,90,101,120,535,0
124,123,40,218,421,0
136,124,130,226,605,1
80,104,117,36,652,0
145,64,61,185,571,0
80,52,77,170,661,0
71,98,134,43,516,0
140,134,51,165,368,0
67,46,101,180,426,0
136,101,125,245,405,0
112,93,94,63,561,0
100,73,106,136,402,1
138,61,66,242,594,0
131,142,143,166,543,1
65,78,150,54,610,0
125,97,123,293,338,0
145,49,65,268,319,0
88,74,146,100,574,0
78,39,139,45,682,0
65,47,98,155,677,0
127,36,54,184,532,0
99,65,111,71,680,0
109,74,81,219,456,1
116,106,73,169,697,0
110,139,71,118,534,0
131,101,40,189,330,0
79,144,44,121,363,1
97,144,113,265,380,0
84,77,51,227,557,0
77,71,50,211,586,0
99,98,113,231,630,0
149,136,40,140,348,0
109,91,112,190,604,0
75,78,92,44,378,0
139,71,111,96,651,0
95,74,57,260,612,0
111,110,116,91,464,0
71,68,96,132,486,0
137,38,134,206,553,0
71,124,108,59,483,0
83,116,132,175,547,0
128,112,133,51,430,0
104,63,146,234,330,0
135,41,106,220,584,0
93,76,138,299,642,0
122,97,123,66,348,0
98,87,53,202,439,1
147,77,91,174,661,0
135,116,97,264,588,1
101,142,93,294,318,0
121,110,56,294,646,0
144,86,49,156,616,0
125,128,40,139,630,0
146,85,108,219,351,0
94,72,88,48,606,0
121,148,149,86,700,0
81,50,64,161,343,1
93,100,76,139,637,0
129,43,149,103,554,0
116,116,80,267,579,0
86,89,87,258,454,0
138,114,89,175,494,1
78,52,114,212,305,0
143,39,68,182,425,1
96,89,139,279,654,0
142,43,118,142,566,0
143,115,128,184,394,0
113,61,101,44,301,1
98,143,73,69,463,0
82,85,58,218,610,0
94,121,54,62,590,0
96,43,42,57,531,0
107,115,141,129,562,0
107,76,117,207,537,0
66,93,91,297,659,0
139,95,93,236,471,0
114,32,135,83,511,0
86,103,100,59,619,0
110,37,124,35,324,0
106,42,90,295,438,0
105,149,99,240,381,0
67,91,50,93,340,0
116,79,59,39,529,0
90,55,60,52,399,0
137,119,120,125,567,0
144,108,74,151,387,0
121,55,114,117,438,0
105,39,136,38,510,0
121,85,149,168,395,0
137,80,115,119,580,0
75,141,87,52,401,0
62,118,117,159,528,0
103,64,133,281,697,0
122,74,96,73,396,0
138,32,128,171,475,0
74,127,111,173,421,0
135,82,124,183,681,0
106,72,47,191,343,0
150,96,144,72,625,0
104,74,101,243,384,0
77,87,77,45,667,0
76,114,73,103,541,0
97,71,67,157,340,0
100,81,115,37,531,0
95,58,93,153,385,1
80,123,69,200,353,0
74,140,128,104,693,0
122,128,121,293,579,0
134,107,74,63,370,1
87,92,87,162,470,0
70,61,55,217,466,0
132,42,77,254,406,0
146,92,66,66,653,0
89,77,131,221,413,0
134,120,125,247,433,0
77,55,122,141,338,0
100,33,117,65,610,0
84,119,131,54,506,0
130,82,77,233,536,0
116,140,55,220,530,1
74,59,101,197,435,0
146,66,100,52,388,0
81,98,144,124,318,0
114,71,126,147,346,0
88,39,145,296,584,0
76,83,58,274,694,0
62,53,94,144,360,0
138,121,128,258,613,1
120,122,145,78,353,0
120,64,118,110,671,0
61,85,105,106,606,0
140,131,116,116,369,0
110,36,90,218,388,0
127,34,67,282,301,0
90,147,79,41,476,0
86,122,52,51,660,0
78,63,119,116,480,0
110,69,116,203,690,0
73,122,122,126,338,0
100,136,64,235,551,0
89,33,140,264,398,0
93,57,81,200,346,0
131,76,72,57,424,0
98,124,121,215,602,0
72,90,45,113,406,0
123,128,52,266,529,1
148,75,98,58,682,0
133,139,51,116,544,0
131,76,106,262,361,0
126,110,148,291,449,0
135,147,45,147,555,0
149,122,81,264,567,1
129,79,63,48,417,0
66,86,133,55,476,0
68,113,89,30,643,0
82,100,95,75,680,0
96,80,125,75,366,1
130,93,148,136,547,0
120,109,122,31,429,0
62,38,77,78,490,0
71,120,75,226,342,0
89,87,67,117,546,0
88,101,73,38,687,0
147,47,88,61,460,0
116,72,100,165,630,0
86,48,99,184,566,0
140,129,69,158,655,0
62,140,53,121,394,0
107,128,83,117,484,0
70,146,71,242,642,0
106,51,94,295,498,1
68,70,73,215,453,0
87,78,53,163,510,0
103,110,112,258,593,0
63,71,101,57,506,0
146,61,146,73,365,0
73,67,46,243,382,1
145,124,150,195,433,0
121,76,58,172,644,0
148,39,74,275,467,0
145,95,96,34,426,0
133,84,43,200,642,0
125,52,138,199,533,0
67,104,60,200,619,0
79,79,75,61,607,0
113,126,71,153,336,0
73,85,46,78,449,0
83,76,99,123,599,0
65,104,128,71,592,0
78,39,55,300,560,0
127,50,114,86,387,0
98,139,116,39,321,0
129,36,58,104,313,1
79,121,93,81,329,1
110,135,110,224,570,1
139,57,100,278,414,0
118,123,148,210,471,0
125,113,88,297,522,0
75,78,54,293,354,0
88,37,53,212,670,0
96,70,71,153,301,0
128,102,134,69,659,0
75,89,120,195,390,0
131,113,148,252,633,1
144,32,149,228,664,0
136,57,150,125,500,0
135,51,54,77,618,0
64,45,115,188,691,0
76,53,107,177,305,0
115,143,58,175,337,0
67,91,64,178,560,0
124,90,75,187,592,0
116,126,149,83,504,0
114,79,119,184,479,1
90,68,144,215,571,0
142,106,47,253,490,0
103,97,117,49,580,0
66,37,136,34,689,0
92,148,91,105,621,0
73,148,42,86,481,0
77,100,66,109,624,0
82,32,98,272,396,0
147,71,112,46,641,0
127,111,126,156,420,0
87,112,51,246,493,1
140,139,67,169,544,0
147,145,122,133,469,0
139,84,126,137,608,0
134,104,130,219,373,0
61,150,90,46,500,0
96,31,49,57,595,0
120,97,53,289,499,0
98,84,45,221,333,0
65,35,148,288,477,0
100,96,57,140,309,0
65,150,89,216,499,1
63,132,68,127,640,0
100,41,47,64,622,0
71,66,76,215,469,0
82,85,105,102,633,0
127,57,121,125,510,0
73,32,91,257,463,0
94,141,90,146,455,1
128,142,115,278,399,0
137,120,42,82,343,1
95,94,149,31,303,0
61,87,135,289,506,0
81,117,143,241,329,0
130,81,51,300,499,0
117,77,54,271,321,0
105,109,75,274,315,0
83,131,92,182,563,0
132,131,83,78,505,0
92,56,115,36,355,0
88,125,72,212,499,0
116,134,59,75,646,0
116,146,56,191,435,0
129,50,84,268,357,0
116,55,144,266,480,0
138,143,96,148,453,0
63,135,139,41,633,0
117,78,51,44,584,0
128,123,82,109,425,1
144,130,50,33,610,0
116,107,143,276,410,0
115,44,114,120,411,0
139,74,79,89,499,0
131,72,120,169,377,0
98,44,143,238,367,0
108,42,109,121,435,0
93,75,145,195,648,0
78,87,120,281,465,0
72,40,102,57,452,0
95,146,141,288,338,0
127,34,150,188,437,0
137,38,119,77,476,0
104,141,116,271,493,0
101,78,130,44,690,0
116,32,49,214,414,0
120,134,132,57,458,0
79,76,123,144,415,1
69,65,144,192,313,0
137,92,111,254,400,0
125,110,57,207,685,0
98,89,61,261,596,0
128,100,51,79,441,0
91,130,76,54,650,0
113,73,72,84,354,0
123,148,104,141,612,0
78,68,104,124,490,0
139,78,77,267,621,0
129,40,80,247,612,0
79,50,147,49,626,0
65,79,82,210,581,0
139,99,40,90,614,0
117,130,52,135,381,0
144,33,81,294,609,0
149,87,119,269,587,1
100,57,146,106,671,0
131,100,78,126,356,0
146,130,41,84,637,0
138,69,117,253,643,0
108,66,115,59,306,1
112,33,110,226,413,0
103,85,68,275,442,0
79,75,85,274,576,0
122,66,103,95,675,0
63,35,135,222,637,0
66,140,144,134,661,0
148,53,131,135,319,0
72,137,117,160,444,1
72,95,87,247,379,0
100,137,125,86,528,0
140,103,138,234,347,0
65,30,105,173,497,0
78,37,83,157,364,0
145,97,57,69,443,0
90,41,141,89,584,0
118,36,103,196,641,0
91,115,108,274,509,0
150,85,102,169,374,0
149,58,148,185,366,0
109,64,64,261,369,0
116,82,134,74,451,0
123,129,145,113,319,0
139,82,150,259,652,0
69,148,79,237,649,0
63,31,66,72,665,0
83,135,48,238,368,0
111,94,129,76,479,0
100,82,45,40,562,0
93,92,129,32,374,0
144,129,105,145,656,0
107,72,116,91,305,0
84,39,53,226,592,0
137,66,135,276,344,0
117,131,124,206,431,0
67,137,118,230,655,0
148,141,150,298,674,0
