like_school,wenke_school,chinese,math,english,physics,chemistry,biology,politics,history,geography,location,time,wenke_score,like_score
天津海运职业学院,重庆第二师范学院,133,84,47,48,53,35,37,79,75,天津,2021,455,400
广州民航职业技术学院,运城职业技术大学,79,45,104,47,78,40,51,99,46,江苏,2024,424,393
西南财经大学天府学院,天津海运职业学院,100,59,66,70,80,53,40,73,63,上海,2022,401,428
泉州信息工程学院,江西科技学院,70,52,87,93,54,60,45,80,76,江苏,2022,410,416
湖南工程学院应用技术学院,长沙学院,65,99,134,84,31,33,83,65,36,海南,2021,482,446
上海政法学院,浙江海洋大学,140,137,47,78,88,47,63,65,36,山西,2023,488,537
川北医学院,上海政法学院,102,138,84,93,32,47,34,90,89,云南,2020,537,496
华南农业大学,深圳技术大学,126,59,104,67,75,95,98,84,78,天津,2017,549,526
长江师范学院,湖南铁路科技职业技术学院,63,30,120,83,75,86,47,85,47,陕西,2024,392,457
阿坝师范学院,郑州西亚斯学院,112,62,51,90,99,57,90,71,64,陕西,2018,450,471
广州航海学院,四川音乐学院,90,92,97,44,58,89,57,81,37,吉林,2019,454,470
广州大学,四川警察学院,96,146,136,48,79,31,47,67,37,西藏,2019,529,536
重庆大学,首都师范大学,144,119,104,41,83,95,33,76,94,浙江,2016,570,586
贵州中医药大学,郑州西亚斯学院,84,58,103,69,96,93,90,65,48,辽宁,2016,448,503
河南理工大学,武汉纺织大学外经贸学院,90,73,80,95,75,61,65,40,91,山东,2016,439,474
阿坝师范学院,上海政法学院,92,89,99,55,50,86,97,71,90,福建,2018,538,471
贵州大学,江南大学,141,70,96,41,97,88,95,63,91,内蒙古,2022,556,533
四川音乐学院,广西外国语学院,125,48,71,48,87,75,46,93,34,新疆,2023,417,454
湖北医药学院药护学院,贵州民族大学,140,61,134,75,40,37,55,36,51,重庆,2017,477,487
湖北民族大学,重庆大学,83,142,136,37,34,85,56,82,87,新疆,2017,586,517
中国石油大学（华东）,西南财经大学天府学院,98,120,73,85,73,99,46,45,46,福建,2022,428,548
中国石油大学（华东）,长沙师范学院,116,135,74,90,41,92,69,43,32,广东,2020,469,548
南京航空航天大学,西北政法大学,111,40,149,99,95,86,98,95,52,山东,2019,545,580
韶关学院,南京师范大学,107,91,130,42,53,37,78,94,63,福建,2018,563,460
武汉生物工程学院,重庆城市科技学院,67,98,61,43,81,94,48,40,100,湖北,2017,414,444
华南农业大学,贵州师范大学,129,57,119,69,54,98,99,46,43,上海,2019,493,526
广东财经大学,厦门理工学院,103,104,76,98,96,47,90,79,54,江苏,2024,506,524
广州医科大学,,125,149,129,54,33,57,82,100,53,河南,2016,638,547
重庆人文科技学院,四川工业科技学院,65,44,106,99,53,76,96,59,71,北京,2021,441,443
重庆大学,重庆大学,142,138,66,88,58,96,81,97,63,山东,2019,587,588
重庆对外经贸学院,贵州民族大学,107,46,79,61,65,64,81,73,91,宁夏,2019,477,422
广东医科大学,湖南大学,133,65,142,87,40,65,96,92,67,安徽,2023,595,532
湖南科技大学潇湘学院,郑州西亚斯学院,118,68,69,63,73,40,92,54,49,贵州,2018,450,431
广东药科大学,韶关学院,61,141,53,89,76,75,69,63,73,重庆,2024,460,495
四川工业科技学院,南京师范大学,131,114,100,30,33,33,58,77,83,吉林,2020,563,441
暨南大学,四川大学,139,122,131,37,61,70,56,63,87,安徽,2016,598,560
成都银杏酒店管理学院,巴音郭楞职业技术学院,69,31,56,62,41,30,32,51,46,青海,2016,285,289
四川旅游学院,广州医科大学,82,108,114,42,78,35,67,97,79,浙江,2019,547,459
阿坝师范学院,山东师范大学,145,46,94,85,30,71,88,51,77,湖南,2022,501,471
贵州中医药大学时珍学院,重庆对外经贸学院,101,106,40,54,96,65,46,98,31,云南,2020,422,462
桂林理工大学,广东医科大学,135,86,115,38,58,48,83,33,79,广东,2016,531,480
上海政法学院,沈阳城市学院,93,142,69,65,76,93,30,32,42,山西,2017,408,538
山东畜牧兽医职业学院,青岛恒星科技学院,118,66,78,35,55,54,94,37,47,甘肃,2018,440,406
海南政法职业学院,齐齐哈尔大学,89,112,45,62,30,34,84,42,96,天津,2016,468,372
成都银杏酒店管理学院,重庆交通职业学院,103,30,49,72,82,85,50,41,43,湖南,2023,316,421
辽宁大学,湖北大学,65,144,135,74,54,95,61,32,83,陕西,2022,520,567
四川旅游学院,西南交通大学希望学院,73,101,77,62,61,85,54,65,79,陕西,2021,449,459
哈尔滨医科大学,湖南科技大学潇湘学院,75,79,141,85,96,42,47,40,49,甘肃,2024,431,518
北京交通大学,福州大学,98,135,134,71,83,87,59,82,47,贵州,2025,555,608
德宏职业学院,重庆人文科技学院,124,41,51,78,30,54,51,86,90,浙江,2019,443,378
兰州博文科技学院,韶关学院,84,66,82,89,68,38,100,48,80,山东,2022,460,427
西南财经大学天府学院,浙江理工大学,138,48,140,32,36,34,69,71,55,广东,2024,521,428
成都信息工程大学,广州城市理工学院,144,33,85,59,97,86,69,62,32,上海,2019,425,504
南京财经大学,贵阳学院,91,75,127,97,57,63,77,50,45,上海,2025,465,510
山东财经大学,华中农业大学,149,82,65,70,48,71,82,70,98,湖南,2017,546,485
四川外国语大学,桂林理工大学,140,59,114,39,53,58,32,86,49,黑龙江,2020,480,463
成都体育学院,川北医学院,95,63,147,81,32,46,38,74,79,天津,2016,496,464
成都医学院,,140,148,93,40,86,52,72,100,91,北京,2022,644,559
南京财经大学,青岛恒星科技学院,107,115,79,57,54,98,61,41,37,安徽,2021,440,510
兰州博文科技学院,四川民族学院,92,103,81,77,32,42,75,82,39,山西,2020,472,427
湖南科技职业学院,成都航空职业技术学院,82,74,71,31,53,96,51,72,54,辽宁,2019,404,407
襄阳职业技术学院,延安职业技术学院,71,71,57,44,50,98,44,58,40,黑龙江,2025,341,391
湖南铁路科技职业技术学院,湖南城建职业技术学院,103,42,51,54,94,48,49,100,31,贵州,2022,376,392
运城职业技术大学,郑州商学院,69,35,99,73,75,73,77,57,98,湖南,2020,435,424
成都体育学院,百色学院,76,78,138,80,51,41,68,65,31,重庆,2024,456,464
成都航空职业技术学院,重庆机电职业技术大学,65,97,78,35,44,84,40,52,81,黑龙江,2024,413,403
山东大学,南京师范大学,143,99,141,95,75,36,45,59,75,福建,2021,562,589
北京交通大学,华东师范大学,113,133,149,48,82,82,84,52,97,贵州,2023,628,607
广州大学,辽宁大学,118,137,79,76,78,47,94,67,71,吉林,2018,566,535
宁波大学,湖南师范大学,119,94,88,95,88,50,79,95,67,西藏,2019,542,534
哈尔滨医科大学,广东医科大学,97,76,105,71,79,90,86,99,69,广东,2022,532,518
山东师范大学,成都信息工程大学,145,116,72,45,45,84,70,36,65,北京,2024,504,507
成都工业学院,宁波大学,108,96,90,36,38,98,77,100,63,辽宁,2024,534,466
百色学院,百色学院,137,101,69,46,42,61,88,30,31,宁夏,2021,456,456
长沙理工大学,广东药科大学,149,118,46,49,55,97,88,57,37,重庆,2025,495,514
上海海关学院,西南大学,103,117,124,53,74,79,78,67,51,天津,2019,540,550
重庆中医药学院,湖北大学,61,102,128,93,76,49,97,78,54,甘肃,2024,520,509
贵州黔南经济学院,湖南工程学院应用技术学院,68,67,108,39,63,97,51,52,100,内蒙古,2025,446,442
兰州大学,广州大学,81,97,136,75,88,96,52,91,78,北京,2017,535,573
桂林理工大学,广西师范大学,72,119,82,72,35,100,32,42,73,江苏,2018,420,480
宁波大学,温州医科大学,103,120,121,59,92,39,54,76,98,天津,2021,572,534
浙江工业大学,重庆电力高等专科学校,68,34,132,41,96,63,72,35,40,湖南,2019,381,434
郑州师范学院,四川警察学院,129,37,132,64,75,38,75,70,86,吉林,2022,529,475
武汉船舶职业技术学院,天津海运职业学院,90,69,49,31,61,69,85,43,63,贵州,2017,399,369
重庆人文科技学院,重庆城市科技学院,108,43,100,32,81,79,59,63,41,河北,2023,414,443
天津海运职业学院,延安职业技术学院,84,51,71,37,85,73,81,79,31,福建,2024,397,401
辽宁大学,安阳师范学院,119,133,62,62,100,93,36,79,52,贵州,2016,481,569
南方医科大学,西昌学院,129,54,121,72,73,95,43,65,46,安徽,2024,458,544
广州新华学院,浙江工业大学,96,94,40,38,91,53,44,84,76,贵州,2019,434,412
渭南职业技术学院,湖南城建职业技术学院,64,43,57,39,88,82,88,84,40,山东,2019,376,373
重庆五一职业技术学院,梧州职业学院,65,37,73,30,40,100,70,49,73,广东,2021,367,345
浙江工业大学,重庆人文科技学院,86,87,101,78,31,50,66,72,31,西藏,2020,443,433
成都中医药大学,上海大学,123,103,92,77,31,86,85,99,82,福建,2022,584,512
,,142,146,126,92,65,86,85,95,48,陕西,2016,642,657
绵阳城市学院,南昌医学院,150,78,56,39,55,59,76,65,94,北京,2017,519,437
成都理工大学,温州医科大学,120,127,47,91,91,51,90,90,98,福建,2019,572,527
景德镇艺术职业大学,日照职业技术学院,113,60,78,57,59,59,48,36,53,陕西,2022,388,426
安阳师范学院,宝鸡职业技术学院,79,81,64,91,78,88,52,38,68,内蒙古,2018,382,481
广西师范大学,川北幼儿师范高等专科学校,78,68,102,74,40,58,41,43,63,江苏,2022,395,420
武汉船舶职业技术学院,广州民航职业技术学院,105,46,82,34,49,52,40,51,70,天津,2016,394,368
湘潭大学,重庆大学,67,141,122,92,31,72,83,100,72,浙江,2019,585,525
成都工业学院,郑州西亚斯学院,109,98,63,70,69,57,80,33,65,新疆,2016,448,466
安顺学院,长江师范学院,90,52,138,46,83,43,76,42,59,福建,2021,457,452
三亚学院,郑州商学院,89,78,54,60,81,47,100,34,80,四川,2018,435,409
广东药科大学,湖北经济学院法商学院,66,87,139,43,96,64,68,62,31,海南,2022,453,495
西南大学,广州医科大学,77,135,115,100,61,52,90,92,38,辽宁,2017,547,540
湖南师范大学,中国民用航空飞行学院,110,77,144,96,72,43,42,69,49,辽宁,2021,491,542
首都师范大学,四川警察学院,114,145,115,91,57,48,41,40,74,河北,2022,529,570
遵义医科大学,韶关学院,103,130,61,66,72,83,42,33,91,四川,2025,460,515
重庆人文科技学院,广西师范大学,60,91,120,49,49,74,38,52,59,宁夏,2024,420,443
成都航空职业技术学院,延安职业技术学院,63,79,84,42,68,69,71,31,69,吉林,2020,397,405
延安职业技术学院,广州新华学院,115,56,63,30,71,62,53,48,77,贵州,2016,412,397
曲阜师范大学,华南农业大学,147,97,87,64,60,43,57,57,81,辽宁,2017,526,498
青岛黄海学院,甘肃交通职业技术学院,118,44,42,46,67,48,33,70,41,陕西,2025,348,365
山东师范大学,山东师范大学,70,132,101,85,51,62,65,70,63,四川,2025,501,501
景德镇艺术职业大学,辽宁大学,124,109,81,36,31,45,77,88,89,黑龙江,2023,568,426
中国石油大学（北京）,中山大学,97,143,128,87,48,62,96,80,88,浙江,2019,632,565
广州航海学院,广东外语外贸大学南国商学院,104,124,48,41,85,68,38,67,49,青海,2023,430,470
成都东软学院,海南医学院,88,94,90,32,48,99,75,68,68,陕西,2017,483,451
海口经济学院,广州民航职业技术学院,128,30,59,37,74,83,33,61,82,重庆,2019,393,411
中国人民解放军陆军军医大学,辽宁大学,146,125,82,61,74,87,82,58,73,广东,2018,566,575
百色学院,四川民族学院,81,89,110,64,77,35,91,31,70,江西,2016,472,456
中国石油大学（北京）,宁波大学,127,111,114,72,41,100,65,86,31,宁夏,2020,534,565
西南财经大学天府学院,西南石油大学,60,92,130,64,33,49,100,97,51,辽宁,2019,530,428
武汉生物工程学院,百色学院,78,83,135,32,70,46,36,65,59,广西,2022,456,444
重庆城市科技学院,重庆人文科技学院,64,117,97,33,66,37,63,39,63,吉林,2017,443,414
中国人民解放军陆军军医大学,沈阳医学院,127,147,65,89,95,52,34,73,54,上海,2020,500,575
,贵州中医药大学,138,119,134,67,94,90,39,42,31,山西,2022,503,642
遵义医科大学医学与科技学院,山东师范大学,69,139,60,47,81,83,49,99,91,山西,2018,507,479
武汉生物工程学院,黔南民族师范学院,88,105,68,58,62,63,87,47,66,四川,2018,461,444
湖北师范大学,安阳师范学院,69,87,130,64,73,79,50,66,79,吉林,2019,481,502
,对外经济贸易大学,145,109,149,97,95,46,62,85,71,西藏,2018,621,641
湖南师范大学,南京农业大学,147,38,132,84,63,77,81,66,89,广东,2019,553,541
上海海关学院,广州航海学院,68,109,104,99,77,93,52,76,61,天津,2016,470,550
四川民族学院,上海政法学院,144,129,56,54,36,53,66,68,75,江西,2021,538,472
北京交通大学,成都信息工程大学,138,101,90,100,89,88,94,43,38,西藏,2019,504,606
广东财经大学,黔南民族师范学院,95,111,137,63,55,63,43,34,41,安徽,2023,461,524
华南理工大学,湖南医药学院,127,143,100,58,89,98,30,56,55,四川,2024,511,615
上海政法学院,山东师范大学,108,107,126,84,64,49,68,67,31,宁夏,2019,507,538
郑州西亚斯学院,贵州民族大学,80,144,52,44,93,37,83,43,75,贵州,2023,477,450
华南农业大学,西昌学院,130,146,44,99,71,36,31,75,32,河南,2023,458,526
南京师范大学,山东师范大学,109,117,125,90,90,32,79,45,32,陕西,2022,507,563
桂林理工大学,湖北工业大学,139,81,74,92,62,32,93,67,51,吉林,2018,505,480
四川旅游学院,重庆中医药学院,150,43,93,41,65,67,71,74,78,山西,2019,509,459
江南大学,厦门理工学院,70,136,106,74,95,75,34,89,71,贵州,2018,506,556
泉州信息工程学院,湖北科技学院,71,119,73,58,62,33,99,97,33,四川,2020,492,416
成都航空职业技术学院,青岛港湾职业技术学院,65,44,57,99,86,51,69,37,80,海南,2022,352,402
西北政法大学,河南理工大学,91,88,145,46,82,93,41,54,55,山西,2022,474,545
湖北科技学院,河南理工大学,70,141,108,80,31,62,34,40,81,河北,2017,474,492
安顺学院,湖北汽车工业学院,135,58,113,37,78,31,62,76,45,河南,2019,489,452
四川大学锦江学院,吉利学院,62,36,109,64,99,75,62,53,93,新疆,2021,415,445
梧州职业学院,西南交通大学希望学院,147,32,63,35,36,54,49,64,94,山西,2019,449,367
广州民航职业技术学院,重庆工程学院,66,46,53,93,63,73,58,99,97,海南,2016,419,394
山东师范大学,南昌医学院,138,70,132,34,57,76,44,37,98,辽宁,2019,519,507
辽宁大学,成都信息工程大学,98,86,129,62,96,97,62,45,84,山东,2022,504,568
阿坝师范学院,湖北中医药大学,77,130,50,75,54,85,98,80,64,安徽,2023,499,471
河南护理职业学院,四川音乐学院,78,72,109,42,38,46,76,59,60,青海,2019,454,385
西南石油大学,湖北师范大学,120,84,138,58,85,45,51,34,75,湖北,2017,502,530
广东药科大学,四川轻化工大学,143,90,94,73,41,54,59,45,59,青海,2018,490,495
长沙理工大学,南京中医药大学,149,123,60,47,72,63,99,40,81,重庆,2016,552,514
湖南工程学院应用技术学院,景德镇艺术职业大学,88,80,70,94,65,49,96,62,30,天津,2020,426,446
西南交通大学,华东理工大学,125,142,116,41,90,50,76,35,89,北京,2019,583,564
四川大学,南京中医药大学,127,108,142,58,67,96,46,64,65,北京,2021,552,598
沈阳城市学院,湖北师范大学,132,69,79,33,36,59,68,84,70,浙江,2019,502,408
桂林理工大学,成都航空职业技术学院,73,94,115,52,89,57,36,37,50,内蒙古,2020,405,480
郑州西亚斯学院,宝鸡职业技术学院,69,76,109,74,74,48,41,47,40,云南,2021,382,450
兰州博文科技学院,青岛恒星科技学院,65,72,126,79,42,43,63,40,74,江西,2019,440,427
四川外国语大学,河南护理职业学院,109,95,44,95,82,38,48,37,52,西藏,2020,385,463
四川音乐学院,海口经济学院,109,63,90,61,66,65,32,49,68,广西,2018,411,454
北京交通大学,,148,111,149,49,99,51,93,75,66,上海,2023,642,607
四川外国语大学,重庆医科大学,102,81,91,64,95,30,99,66,74,青海,2018,513,463
重庆城市科技学院,景德镇艺术职业大学,125,65,53,50,66,55,39,49,95,甘肃,2023,426,414
四川机电职业技术学院,四川工业科技学院,87,46,106,65,54,38,72,35,95,北京,2022,441,396
湖北科技学院,南京航空航天大学,136,69,144,34,64,45,90,50,90,新疆,2020,579,492
成都航空职业技术学院,湖南科技职业学院,85,95,54,49,81,40,44,88,41,西藏,2019,407,404
,湖南大学,149,123,118,96,100,90,99,39,64,湖北,2020,592,676
宝鸡职业技术学院,山东畜牧兽医职业学院,114,63,42,31,74,58,72,34,81,四川,2023,406,382
曲阜师范大学,湖北中医药大学,99,71,129,78,83,38,44,92,64,安徽,2016,499,498
贵州医科大学,湖北大学,133,150,42,59,73,100,91,41,63,天津,2019,520,557
上海政法学院,南京航空航天大学,148,141,86,56,31,76,52,91,61,四川,2021,579,538
安顺学院,景德镇艺术职业大学,61,46,133,87,93,32,59,72,55,上海,2021,426,452
海南医学院,南方医科大学,149,105,55,42,85,47,52,90,92,贵州,2017,543,483
广东外语外贸大学南国商学院,安顺学院,105,70,97,50,64,44,32,77,71,贵州,2022,452,430
四川音乐学院,广州城市理工学院,113,76,43,86,45,91,92,64,37,江苏,2023,425,454
湖南科技大学潇湘学院,海口经济学院,94,55,77,39,77,89,62,48,75,西藏,2016,411,431
四川文化艺术学院,河南理工大学,137,72,68,51,68,42,33,79,85,天津,2017,474,438
广州城市理工学院,湖北生物科技职业学院,118,52,93,32,75,55,35,30,47,辽宁,2024,375,425
汕头大学,汕头大学,149,74,45,78,92,78,90,98,60,福建,2025,516,516
上海海关学院,江南大学,64,141,139,59,69,78,38,87,87,内蒙古,2018,556,550
华东理工大学,湖北工业大学,137,62,111,93,100,80,84,62,49,安徽,2022,505,583
甘肃交通职业技术学院,吉利学院,84,82,42,41,40,59,93,38,76,湖南,2020,415,348
天津海运职业学院,武汉生物工程学院,79,59,97,69,63,33,42,95,72,福建,2019,444,400
贵州师范大学,湖南师范大学,86,123,86,83,68,47,87,80,79,吉林,2023,541,493
贵州师范大学,湖北医药学院药护学院,69,116,93,53,77,85,82,69,58,广东,2019,487,493
广东医科大学,南京农业大学,130,133,73,94,40,62,55,75,87,上海,2018,553,532
成都体育学院,桂林理工大学,75,93,110,75,77,34,60,91,51,广东,2021,480,464
重庆第二师范学院,中国民用航空飞行学院,75,96,117,90,47,30,64,51,88,江西,2016,491,455
湖北工业大学,重庆人文科技学院,68,107,98,99,84,49,69,42,59,湖北,2018,443,505
西昌学院,川北医学院,86,103,131,43,31,64,63,38,75,北京,2020,496,458
长沙师范学院,成都理工大学工程技术学院,84,96,123,46,72,48,41,38,65,北京,2021,447,469
沈阳医学院,贵州中医药大学时珍学院,76,115,130,58,87,34,39,35,67,内蒙古,2021,462,500
西南交通大学希望学院,海南医学院,70,130,128,45,30,46,53,72,30,西藏,2021,483,449
四川音乐学院,厦门理工学院,96,88,67,48,99,56,100,63,92,广东,2019,506,454
南京财经大学,广东财经大学,109,109,110,34,88,60,51,99,46,江西,2020,524,510
广州南方学院,韶关学院,82,42,149,48,38,73,71,45,71,广西,2022,460,432
华中农业大学,中国药科大学,128,93,101,89,39,96,86,70,100,重庆,2024,578,546
四川师范大学,安顺学院,107,38,123,77,60,79,36,85,63,黑龙江,2024,452,484
湖北大学,温州医科大学,127,101,127,62,31,72,89,85,43,江苏,2019,572,520
湖南科技职业学院,三亚学院,91,36,96,77,40,67,51,42,93,四川,2021,409,407
川北医学院,漯河医学高等专科学校,62,115,68,81,75,95,55,55,31,新疆,2025,386,496
四川音乐学院,重庆邮电大学,123,94,95,49,34,59,34,96,81,安徽,2019,523,454
广西师范大学,广州民航职业技术学院,105,51,52,78,83,51,72,45,68,重庆,2023,393,420
成都体育学院,阿坝师范学院,123,86,94,46,42,73,42,41,85,青海,2024,471,464
漯河医学高等专科学校,四川文化艺术学院,98,73,64,35,81,35,68,83,52,福建,2017,438,386
中国石油大学（北京）,汕头大学,145,67,134,45,74,100,45,69,56,河南,2017,516,565
,重庆大学,114,128,147,74,99,57,89,55,55,江西,2022,588,619
苏州科技大学,重庆中医药学院,105,35,136,87,59,86,74,98,61,江西,2019,509,508
西昌学院,广东财经大学,124,55,106,47,40,86,96,55,88,天津,2020,524,458
成都大学,湖北生物科技职业学院,107,34,80,94,75,77,47,49,58,陕西,2021,375,467
遵义医科大学医学与科技学院,绵阳城市学院,64,79,120,66,68,82,100,43,31,山西,2018,437,479
湖北师范大学,重庆第二师范学院,142,77,96,97,53,37,53,53,34,山西,2016,455,502
广州航海学院,中国地质大学（武汉）,131,46,130,53,40,70,64,92,88,云南,2019,551,470
四川外国语大学成都学院,四川外国语大学,77,136,44,43,32,31,97,59,50,上海,2019,463,363
四川工业科技学院,郑州师范学院,77,102,82,95,34,51,94,66,54,四川,2025,475,441
成都工业学院,四川师范大学,60,118,116,88,46,38,32,95,63,江西,2017,484,466
湖南铁路科技职业技术学院,三峡大学科技学院,68,52,97,67,60,48,49,39,82,海南,2024,387,392
湖南师范大学,重庆第二师范学院,104,82,128,85,88,55,53,37,51,西藏,2024,455,542
贵州中医药大学,湖北第二师范学院,123,69,139,51,71,50,68,37,50,上海,2017,486,503
西南石油大学,郑州师范学院,100,147,71,81,89,42,38,61,58,宁夏,2017,475,530
西南财经大学天府学院,阿坝师范学院,100,31,108,86,62,41,93,84,55,湖南,2021,471,428
南昌医学院,广东外语外贸大学南国商学院,127,41,117,80,58,96,60,52,33,湖南,2022,430,519
河南理工大学,华南农业大学,130,37,141,67,33,66,85,62,71,吉林,2021,526,474
上海电力大学,南昌医学院,73,124,111,76,60,95,86,92,33,河南,2022,519,539
珠海科技学院,成都大学,124,93,46,39,63,71,93,63,48,青海,2019,467,436
山东师范大学,湖北科技学院,121,30,143,69,58,80,54,67,77,云南,2025,492,501
中国人民解放军陆军军医大学,浙江海洋大学,128,115,132,53,78,69,33,40,40,西藏,2022,488,575
贵州民族大学,桂林医学院,138,53,122,70,64,30,56,70,55,贵州,2024,494,477
贵州民族大学,成都中医药大学,146,48,131,38,32,82,81,47,59,西藏,2022,512,477
海南医学院,西南财经大学天府学院,87,72,98,66,66,94,63,73,35,河北,2019,428,483
天津海运职业学院,山东畜牧兽医职业学院,139,55,62,44,67,32,38,65,47,安徽,2023,406,399
延安职业技术学院,海南政法职业学院,79,39,52,85,43,43,66,92,44,黑龙江,2020,372,341
贵州中医药大学时珍学院,北部湾大学,73,129,118,64,30,48,45,33,78,内蒙古,2019,476,462
重庆旅游职业学院,武汉船舶职业技术学院,79,42,105,49,55,30,61,43,38,天津,2016,368,360
成都理工大学,成都大学,137,91,74,86,67,72,56,57,52,内蒙古,2020,467,527
福州大学,浙江理工大学,147,39,111,84,98,76,71,92,61,西藏,2016,521,555
桂林医学院,湖北医药学院药护学院,98,58,150,54,43,91,71,32,78,广东,2025,487,494
四川师范大学,湖北师范大学,105,71,147,32,75,54,31,79,69,江苏,2022,502,484
华东理工大学,成都理工大学,106,150,120,72,35,100,58,55,38,广东,2021,527,583
贵州师范大学,湖南大学,64,114,131,47,77,60,98,99,89,福建,2025,595,493
成都信息工程大学,广西师范大学,148,56,83,54,82,81,37,60,36,青海,2025,420,504
渭南职业技术学院,四川旅游学院,74,58,102,41,65,33,73,88,64,浙江,2024,459,373
湖南医药学院,湖北民族大学,109,50,121,86,69,76,93,97,47,贵州,2022,517,511
长沙师范学院,中国民用航空飞行学院,91,119,107,32,50,70,41,41,92,新疆,2022,491,469
重庆中医药学院,广州航海学院,150,102,40,72,62,83,71,37,70,黑龙江,2021,470,509
对外经济贸易大学,北京交通大学,123,138,148,85,57,70,57,85,56,安徽,2020,607,621
广州医科大学,广东医科大学,135,117,74,84,98,39,82,82,41,贵州,2021,531,547
沈阳医学院,四川轻化工大学,64,147,116,75,51,47,45,69,49,海南,2020,490,500
广东药科大学,湖北汽车工业学院,95,137,81,55,84,43,47,95,34,内蒙古,2021,489,495
中国药科大学,浙江理工大学,149,88,73,94,96,78,70,89,52,贵州,2020,521,578
武汉纺织大学外经贸学院,成都航空职业技术学院,98,36,131,42,32,100,37,71,32,贵州,2022,405,439
安顺学院,渭南职业技术学院,92,60,45,95,87,73,35,46,95,河南,2021,373,452
