like_school,wenke_school,chinese,math,english,physics,chemistry,biology,politics,history,geography,location,time,wenke_score,like_score
川北医学院,湖北工业大学,97,120,71,53,86,69,58,83,76,山东,2019,505,496
辽宁大学,西南交通大学,142,149,90,64,39,82,44,41,98,陕西,2022,564,566
兰州大学,四川师范大学,139,88,120,80,87,59,46,39,52,上海,2023,484,573
湖北医药学院药护学院,北部湾大学,99,94,99,70,45,80,63,35,86,安徽,2018,476,487
湖南师范大学,中国人民解放军陆军军医大学,92,109,146,77,31,87,79,61,88,云南,2022,575,542
成都体育学院,海口经济学院,70,108,69,74,85,58,51,30,83,河南,2018,411,464
重庆医科大学,广州城市理工学院,92,94,97,78,63,89,46,49,47,河南,2021,425,513
成都信息工程大学,北部湾大学,138,33,142,58,33,100,67,56,40,西藏,2022,476,504
景德镇艺术职业大学,浙江海洋大学,71,106,57,52,70,70,100,82,72,广东,2021,488,426
辽宁大学,中国人民解放军陆军军医大学,150,82,139,63,77,57,60,78,66,贵州,2016,575,568
重庆工程学院,贵州航天职业技术学院,87,31,67,97,64,73,46,43,64,重庆,2019,338,419
辽宁大学,山东师范大学,136,94,88,70,93,88,43,99,41,四川,2021,501,569
曲阜师范大学,重庆第二师范学院,105,74,69,66,92,92,31,99,77,山东,2017,455,498
中国海洋大学,暨南大学,130,124,94,59,81,93,34,80,98,山东,2019,560,581
广州铁路职业技术学院,伊犁职业技术学院,68,50,83,59,62,62,50,33,38,西藏,2018,322,384
河南理工大学,广州医科大学,139,132,41,79,45,38,85,61,89,河北,2016,547,474
贵州黔南经济学院,青岛恒星科技学院,78,45,119,99,68,33,83,47,68,四川,2022,440,442
广州新华学院,重庆工程学院,74,34,119,42,89,54,54,92,46,河南,2018,419,412
中国政法大学,中国政法大学,148,136,82,83,79,82,81,99,65,甘肃,2017,611,610
武汉船舶职业技术学院,湖北汽车工业学院,150,50,58,31,32,48,50,89,92,山西,2019,489,369
南昌医学院,山东财经大学,143,70,126,75,65,40,30,84,32,甘肃,2019,485,519
山东大学（威海）,北京交通大学,118,109,145,95,96,33,94,56,84,西藏,2016,606,596
广州大学,四川民族学院,135,95,95,78,71,61,57,37,53,上海,2019,472,535
上海海关学院,重庆工程学院,137,111,71,96,41,94,30,40,30,河北,2025,419,550
广州民航职业技术学院,湘潭医卫职业技术学院,94,74,53,54,65,53,33,38,88,西藏,2020,380,393
珠海科技学院,重庆机电职业技术大学,76,110,76,62,41,71,71,35,45,湖北,2019,413,436
华中农业大学,上海海关学院,131,102,107,56,75,75,60,90,60,河北,2025,550,546
对外经济贸易大学,兰州大学,135,116,140,96,48,86,50,85,47,贵州,2022,573,621
汕头大学,湖北医药学院药护学院,114,99,113,54,52,84,43,73,45,北京,2018,487,516
成都体育学院,成都医学院,147,81,69,32,51,84,72,91,99,吉林,2022,559,464
成都信息工程大学,华南师范大学,73,131,133,47,43,77,88,94,35,山东,2020,554,504
齐齐哈尔大学,百色学院,109,127,63,47,47,75,48,48,61,甘肃,2024,456,468
浙江工业大学,曲阜师范大学,100,40,108,66,55,64,93,71,86,辽宁,2024,498,433
长沙学院,贵阳学院,129,54,45,89,68,97,62,86,89,广东,2017,465,482
成都信息工程大学,上海电力大学,87,84,135,54,66,78,44,94,95,内蒙古,2022,539,504
贵州师范大学,成都体育学院,68,82,143,77,68,55,39,57,75,西藏,2019,464,493
青岛恒星科技学院,兰州博文科技学院,96,47,142,45,64,46,34,64,44,黑龙江,2018,427,440
四川师范大学,重庆人文科技学院,89,72,103,83,57,80,43,85,51,天津,2021,443,484
贵州民族大学,湖南科技职业学院,119,52,47,99,90,70,83,74,32,天津,2020,407,477
西南财经大学,重庆医科大学,77,116,106,100,83,94,47,74,93,宁夏,2016,513,576
河北外国语学院,郑州西亚斯学院,98,79,52,82,62,50,86,45,88,吉林,2016,448,423
兰州博文科技学院,日照职业技术学院,113,50,64,92,51,57,93,30,38,广西,2017,388,427
西南石油大学,中国地质大学（武汉）,88,76,146,69,95,56,72,71,98,云南,2020,551,530
上海海关学院,浙江海洋大学,135,99,53,87,96,80,36,86,79,广东,2017,488,550
华南农业大学,中国政法大学,86,120,149,72,61,38,88,91,77,江西,2020,611,526
川北医学院,四川大学锦江学院,108,72,78,72,67,99,65,70,52,上海,2023,445,496
湖北科技学院,四川警察学院,145,124,59,69,49,46,63,100,38,西藏,2016,529,492
四川文化艺术学院,贵州师范大学,84,123,80,37,64,50,73,76,57,广西,2023,493,438
上海大学,四川师范大学,90,132,144,84,57,77,32,33,53,安徽,2017,484,584
长江大学,湖北科技学院,126,78,79,39,93,58,91,66,52,江西,2016,492,473
南京中医药大学,上海政法学院,144,73,110,68,98,59,49,87,74,江西,2023,537,552
贵州医科大学,长沙师范学院,68,120,94,84,99,92,90,48,49,湖北,2017,469,557
成都大学,西南交通大学希望学院,109,101,104,43,58,52,36,59,40,江西,2022,449,467
广东医科大学,贵阳学院,147,71,100,67,76,71,37,63,47,青海,2019,465,532
河海大学,中国人民解放军陆军军医大学,62,128,140,69,87,85,71,92,82,山东,2020,575,571
南京师范大学,中国地质大学（武汉）,135,134,73,91,46,83,60,99,50,河南,2017,551,562
上海大学,山东大学,147,148,114,40,95,40,65,60,55,浙江,2018,589,584
湖北医药学院药护学院,湖南科技大学潇湘学院,86,114,94,44,85,64,31,65,41,吉林,2017,431,487
广西外国语学院,西北政法大学,90,133,53,32,46,63,92,97,80,四川,2021,545,417
曲阜师范大学,浙江理工大学,97,148,44,82,67,60,89,84,59,四川,2018,521,498
百色学院,兰州博文科技学院,71,64,138,45,78,60,71,34,49,广西,2017,427,456
广西师范大学,广东财经大学,103,81,106,62,38,30,94,61,79,河北,2024,524,420
武汉生物工程学院,桂林医学院,108,49,87,35,78,87,68,89,93,河南,2021,494,444
广东医科大学,广州城市理工学院,84,109,130,62,79,67,38,32,32,天津,2017,425,531
四川旅游学院,湖北大学,66,136,62,55,71,69,60,96,100,河北,2017,520,459
武汉轻工大学,湖北经济学院法商学院,107,150,63,75,39,63,53,35,45,贵州,2021,453,497
青岛黄海学院,广州卫生职业技术学院,78,30,89,34,73,61,55,47,40,陕西,2019,339,365
厦门理工学院,广州航海学院,106,72,98,83,47,100,68,76,50,四川,2020,470,506
重庆大学,武汉轻工大学,121,138,100,72,91,64,39,45,54,新疆,2019,497,586
四川音乐学院,黔南民族师范学院,72,106,89,33,66,88,54,86,54,陕西,2025,461,454
,四川大学,149,148,82,74,96,100,87,95,39,甘肃,2020,600,649
阿坝师范学院,成都理工大学工程技术学院,88,73,58,92,77,83,100,89,39,山西,2024,447,471
湖北科技学院,湖北汽车工业学院,103,38,118,97,79,57,85,69,76,甘肃,2023,489,492
三峡大学科技学院,广西师范大学,136,71,41,59,40,40,45,67,60,浙江,2016,420,387
湖北中医药大学,安阳师范学院,79,114,115,69,43,79,42,49,82,海南,2023,481,499
中国政法大学,山东大学,145,113,147,66,98,42,41,52,91,辽宁,2020,589,611
湖北师范大学,贵州大学,126,118,97,76,40,45,59,83,50,湖北,2022,533,502
辽宁大学,川北医学院,148,90,77,98,80,76,31,68,82,北京,2018,496,569
山东师范大学,广东外语外贸大学南国商学院,138,64,109,77,33,86,46,30,43,河北,2018,430,507
重庆工程学院,贵州民族大学,131,39,107,51,41,50,54,77,69,天津,2021,477,419
山东财经大学,重庆大学,84,133,127,55,53,33,62,86,95,山东,2022,587,485
延安职业技术学院,丽江师范高等专科学校,74,51,61,47,58,50,60,33,85,青海,2018,364,341
四川民族学院,湖北医药学院药护学院,64,64,103,91,89,61,91,77,88,湖北,2021,487,472
辽宁大学,四川大学,132,91,136,61,70,78,61,97,82,甘肃,2023,599,568
贵州黔南经济学院,桂林医学院,127,53,60,53,99,50,99,77,78,西藏,2023,494,442
重庆中医药学院,中国石油大学（华东）,88,126,111,50,70,64,97,57,69,江西,2025,548,509
长沙师范学院,贵州师范大学,112,96,69,45,72,75,58,83,75,云南,2021,493,469
渭南职业技术学院,成都银杏酒店管理学院,86,86,73,49,32,47,72,34,70,山东,2023,421,373
青岛恒星科技学院,沈阳医学院,107,90,120,50,43,30,42,61,80,河南,2022,500,440
长江师范学院,西安铁路职业技术学院,60,90,104,62,45,96,44,45,40,浙江,2020,383,457
华东理工大学,湖北民族大学,133,107,124,58,80,80,54,63,36,福建,2019,517,582
贵州医科大学,中国传媒大学,88,142,143,54,57,73,38,97,96,上海,2019,604,557
湖北第二师范学院,长江大学,123,120,69,98,30,46,81,37,43,湖南,2019,473,486
郑州商学院,山东畜牧兽医职业学院,131,30,94,51,38,91,36,53,62,贵州,2018,406,435
武汉纺织大学外经贸学院,江南大学,91,98,129,30,50,41,100,48,90,西藏,2019,556,439
重庆大学,,147,145,112,80,41,63,77,94,90,北京,2022,665,588
北部湾大学,四川音乐学院,88,80,93,92,66,57,67,54,72,江苏,2017,454,476
成都师范学院,浙江理工大学,111,119,93,68,40,47,48,77,73,上海,2019,521,478
齐齐哈尔大学,山东师范大学,127,76,117,34,41,73,32,52,97,广西,2022,501,468
江西科技学院,青岛恒星科技学院,80,90,46,97,56,41,92,51,81,河北,2025,440,410
曲阜师范大学,成都信息工程大学,74,150,93,69,71,41,72,48,67,湖南,2025,504,498
湖北工业大学,南京财经大学,124,79,141,49,73,39,34,72,60,黑龙江,2022,510,505
湖南科技职业学院,河南理工大学,118,72,61,37,71,48,47,78,98,浙江,2025,474,407
成都工业学院,广州铁路职业技术学院,133,33,47,76,86,91,75,40,56,江苏,2021,384,466
湖北中医药大学,大理护理职业学院,75,71,110,91,89,63,33,37,32,北京,2022,358,499
绵阳城市学院,泉州信息工程学院,100,76,63,96,45,57,68,68,41,新疆,2019,416,437
南昌大学,西南交通大学,143,122,68,42,93,60,92,74,65,山西,2019,564,528
贵阳学院,重庆大学,112,86,121,49,57,40,86,99,83,天津,2024,587,465
湖北科技学院,重庆中医药学院,93,94,109,30,83,83,53,88,72,青海,2025,509,492
湖北第二师范学院,西南石油大学,120,117,82,37,66,64,75,53,83,青海,2021,530,486
中国民用航空飞行学院,贵州民族大学,65,129,131,39,75,52,48,50,54,广西,2022,477,491
贵阳学院,浙江工业大学,135,79,55,62,57,77,54,70,40,北京,2019,433,465
武汉船舶职业技术学院,华北水利水电大学,109,44,82,39,46,48,33,93,68,山东,2024,429,368
四川民族学院,景德镇艺术职业大学,137,61,82,91,49,52,58,54,34,甘肃,2020,426,472
浙江海洋大学,湖北大学,89,59,138,78,59,65,48,91,95,甘肃,2017,520,488
河南理工大学,浙江理工大学,134,82,82,55,85,36,69,66,88,山西,2016,521,474
广州南方学院,华北水利水电大学,129,73,51,91,55,33,78,57,41,宁夏,2017,429,432
四川轻化工大学,四川农业大学,86,66,106,81,57,94,100,71,93,黑龙江,2023,522,490
南京师范大学,兰州大学,119,107,115,57,84,80,51,88,93,四川,2020,573,562
青岛港湾职业技术学院,广西师范大学,91,64,40,43,85,32,85,65,75,四川,2025,420,355
郑州西亚斯学院,南京财经大学,60,133,92,46,75,44,74,82,69,北京,2024,510,450
中国石油大学（华东）,湖北工业大学,144,83,95,74,79,73,32,68,83,山西,2019,505,548
贵州医科大学,四川师范大学,85,108,136,99,34,95,42,69,44,山西,2018,484,557
南京中医药大学,西南财经大学,140,109,115,62,47,79,43,77,92,安徽,2017,576,552
湘潭医卫职业技术学院,青岛黄海学院,114,33,49,43,80,61,44,77,48,海南,2019,365,380
中山大学,温州医科大学,131,145,142,65,87,61,35,62,57,湖北,2019,572,631
长江师范学院,长江师范学院,69,104,77,71,60,76,34,83,90,陕西,2020,457,457
广州航海学院,浙江海洋大学,99,128,82,47,39,75,30,53,96,福建,2020,488,470
山东师范大学,齐齐哈尔大学,102,63,132,65,79,66,32,74,65,山东,2017,468,507
成都航空职业技术学院,四川旅游学院,60,65,118,41,77,42,99,41,76,宁夏,2025,459,403
浙江工业大学,重庆对外经贸学院,133,101,46,32,44,78,54,39,49,湖南,2024,422,434
四川农业大学,华北水利水电大学,118,30,135,75,89,75,53,57,36,四川,2016,429,522
南昌医学院,西南交通大学希望学院,114,118,82,40,65,100,34,62,39,福建,2017,449,519
襄阳职业技术学院,百色学院,122,66,75,34,54,40,65,67,61,青海,2019,456,391
兰州大学,辽宁大学,133,137,137,68,50,48,67,41,53,甘肃,2024,568,573
重庆工程学院,广东外语外贸大学南国商学院,119,52,84,94,35,35,48,90,37,江西,2018,430,419
武汉纺织大学外经贸学院,贵州民族大学,74,70,107,80,31,77,94,80,52,海南,2017,477,439
安顺职业技术学院,青岛港湾职业技术学院,79,40,46,83,54,77,33,73,84,陕西,2020,355,379
贵州黔南经济学院,天津海运职业学院,112,61,45,76,88,60,85,30,68,重庆,2024,401,442
湖南医药学院,广东医科大学,68,150,147,53,36,57,55,57,54,湖北,2019,531,511
西南交通大学,深圳大学,95,141,114,92,35,87,80,83,64,青海,2022,577,564
湖南大学,中山大学,144,134,137,33,97,50,100,61,55,吉林,2024,631,595
安顺学院,郑州商学院,61,34,150,48,80,79,58,52,80,甘肃,2025,435,452
中国药科大学,上海大学,139,105,149,74,41,70,66,39,86,贵州,2019,584,578
四川音乐学院,湖北经济学院法商学院,97,42,147,89,45,34,77,58,32,山东,2017,453,454
四川文化艺术学院,成都师范学院,85,54,150,65,35,49,54,99,36,河南,2019,478,438
郑州商学院,成都航空职业技术学院,89,73,96,52,31,94,40,75,30,天津,2019,403,435
长沙卫生职业学院,沈阳城市学院,67,38,108,97,42,37,33,86,76,海南,2022,408,389
天津海运职业学院,广东药科大学,141,53,80,44,44,39,60,70,91,安徽,2025,495,401
四川外国语大学,南昌医学院,114,108,100,36,73,32,65,93,39,宁夏,2022,519,463
北部湾大学,广州大学,145,113,48,41,70,59,79,55,95,黑龙江,2018,535,476
海口经济学院,四川外国语大学,74,118,89,66,30,34,92,49,41,宁夏,2016,463,411
湖北工业大学,广州大学,78,107,109,99,53,59,88,70,83,天津,2021,535,505
湖北汽车工业学院,遵义医科大学,143,98,71,49,93,35,67,99,37,湖南,2017,515,489
西南交通大学希望学院,四川音乐学院,115,43,131,54,59,47,47,62,56,山西,2017,454,449
南方医科大学,湖北师范大学,130,136,62,40,88,88,38,74,62,山西,2020,502,544
四川旅游学院,景德镇艺术职业大学,113,60,99,57,93,37,52,53,49,广西,2024,426,459
重庆机电职业技术大学,吐鲁番职业技术学院,81,36,110,48,58,80,47,36,33,青海,2021,343,413
中国传媒大学,深圳大学,88,126,137,95,92,63,89,47,90,吉林,2019,577,601
华中农业大学,湖南医药学院,135,149,88,59,63,52,31,32,76,重庆,2016,511,546
云南经济管理学院,成都航空职业技术学院,93,88,45,52,33,35,76,62,39,辽宁,2016,403,346
湘潭大学,深圳技术大学,149,39,134,68,50,85,83,86,58,云南,2019,549,525
重庆对外经贸学院,成都体育学院,62,49,148,46,70,47,61,69,75,山东,2019,464,422
广东医科大学,四川警察学院,143,53,132,87,76,41,69,32,100,上海,2022,529,532
上海政法学院,广州大学,138,97,88,68,54,93,64,69,79,浙江,2024,535,538
成都航空职业技术学院,吉利学院,96,40,55,64,63,85,99,94,31,山西,2018,415,403
福州大学,华南师范大学,89,145,95,88,67,71,53,96,76,海南,2019,554,555
哈尔滨医科大学,成都信息工程大学,106,40,150,89,83,50,59,87,62,宁夏,2019,504,518
梧州职业学院,湖南铁路科技职业技术学院,99,41,47,60,49,71,68,83,54,贵州,2016,392,367
成都理工大学,成都银杏酒店管理学院,79,48,140,68,97,95,63,36,55,河北,2019,421,527
武汉电力职业技术学院,德宏职业学院,105,49,75,91,32,38,77,41,31,新疆,2020,378,390
四川警察学院,贵州师范大学,90,145,98,75,67,54,53,50,57,天津,2021,493,529
湖北工业大学,江南大学,137,57,111,46,90,64,68,87,96,湖北,2024,556,505
沈阳城市学院,青岛黄海学院,108,40,63,98,42,57,38,86,30,辽宁,2023,365,408
渭南职业技术学院,云南机电职业技术学院,61,49,71,93,68,35,34,86,65,山西,2023,366,377
川北医学院,广东药科大学,112,82,149,72,38,43,39,40,73,新疆,2020,495,496
长江大学,厦门理工学院,106,114,59,61,46,87,85,61,81,天津,2020,506,473
贵阳学院,长江师范学院,78,73,128,33,77,76,85,44,49,青海,2016,457,465
河海大学,湖北师范大学,100,146,125,68,71,61,44,45,42,广西,2017,502,571
四川农业大学,上海海关学院,105,142,116,33,92,34,54,76,57,黑龙江,2021,550,522
浙江理工大学,广东外语外贸大学南国商学院,121,87,67,78,77,91,36,31,88,内蒙古,2023,430,521
成都航空职业技术学院,三亚学院,79,81,83,44,71,45,88,48,30,黑龙江,2022,409,403
广东医科大学,山东财经大学,142,109,72,75,88,46,35,61,66,黑龙江,2018,485,532
辽宁大学,,144,148,141,30,70,35,72,76,84,江西,2018,665,568
成都体育学院,广州航海学院,103,131,42,58,97,33,60,79,55,湖南,2024,470,464
沈阳城市学院,阿坝师范学院,90,140,48,48,49,33,61,49,83,河南,2020,471,408
齐齐哈尔大学,长沙师范学院,87,86,96,100,42,57,76,92,32,福建,2019,469,468
南京师范大学,四川大学,144,85,116,94,74,49,86,72,95,青海,2020,598,562
兰州博文科技学院,武汉轻工大学,132,36,126,37,65,31,58,95,50,江西,2022,497,427
湖北医药学院药护学院,成都理工大学工程技术学院,111,79,40,77,93,87,62,86,69,北京,2020,447,487
南京财经大学,山东财经大学,122,92,77,92,81,46,92,60,42,新疆,2021,485,510
四川农业大学,湖北汽车工业学院,114,79,117,51,77,84,73,42,64,重庆,2023,489,522
成都体育学院,成都理工大学,111,118,113,35,44,43,47,44,94,浙江,2022,527,464
广州航海学院,贵州师范大学,103,72,132,74,35,54,40,58,88,海南,2024,493,470
上海政法学院,上海海关学院,143,108,79,73,98,37,92,93,35,浙江,2019,550,538
南京中医药大学,西南财经大学,132,146,77,67,80,50,64,62,95,黑龙江,2025,576,552
湖南大学,贵州大学,80,138,135,60,92,87,40,44,96,河北,2022,533,592
广东药科大学,湖北经济学院法商学院,130,85,81,78,71,50,41,68,48,福建,2025,453,495
四川大学锦江学院,成都航空职业技术学院,107,58,76,92,81,31,59,69,34,陕西,2023,403,445
广东医科大学,浙江理工大学,142,73,109,67,74,67,57,48,92,湖南,2025,521,532
华北水利水电大学,广西师范大学,85,44,77,48,77,98,39,90,85,安徽,2020,420,429
四川大学,中国石油大学（华东）,128,111,127,54,95,82,82,56,44,陕西,2023,548,597
成都航空职业技术学院,湘潭医卫职业技术学院,131,44,45,65,70,50,84,35,41,西藏,2019,380,405
上海政法学院,贵州中医药大学,121,137,53,99,72,55,60,32,100,河北,2025,503,537
重庆中医药学院,西南石油大学,121,96,81,72,47,92,88,82,62,云南,2020,530,509
贵州大学,长沙理工大学,110,121,103,97,43,59,98,31,51,河南,2016,514,533
浙江工业大学,海南政法职业学院,82,118,47,99,44,44,43,32,50,上海,2021,372,434
齐齐哈尔大学,湖北中医药大学,122,68,96,47,97,38,50,77,86,江苏,2024,499,468
重庆大学,南昌医学院,132,115,79,74,96,89,76,74,43,北京,2020,519,585
湖南师范大学,中国传媒大学,134,108,96,69,82,52,84,90,91,重庆,2023,603,541
阿坝师范学院,青岛港湾职业技术学院,87,95,67,70,83,69,45,31,30,浙江,2021,355,471
上海海关学院,武汉轻工大学,99,92,135,98,60,66,43,79,49,宁夏,2016,497,550
山东财经大学,郑州西亚斯学院,111,68,99,37,89,81,64,68,38,河北,2020,448,485
浙江理工大学,重庆医科大学,87,145,81,67,85,56,69,61,70,山东,2021,513,521
成都师范学院,成都信息工程大学,113,84,59,52,81,89,89,79,80,黑龙江,2020,504,478
广东药科大学,贵州民族大学,109,125,66,44,52,99,59,32,86,新疆,2024,477,495
四川外国语大学,延安职业技术学院,109,36,116,33,75,94,32,56,48,重庆,2017,397,463
南昌大学,广州新华学院,129,78,108,57,68,88,35,30,32,北京,2019,412,528
桂林医学院,长江师范学院,121,87,94,34,73,85,39,84,32,上海,2016,457,494
中国民用航空飞行学院,四川旅游学院,79,121,122,52,54,63,35,30,72,江苏,2025,459,491
上海海关学院,山东师范大学,147,56,145,83,73,46,39,69,51,青海,2023,507,550
华北水利水电大学,海口经济学院,110,98,68,42,67,44,32,54,49,陕西,2019,411,429
厦门理工学院,郑州师范学院,141,108,65,87,33,72,44,80,37,新疆,2025,475,506
四川警察学院,东华大学,108,117,114,98,33,59,87,48,100,天津,2019,574,529
南京中医药大学,贵州大学,127,110,106,83,32,94,53,83,54,江苏,2018,533,552
四川文化艺术学院,成都航空职业技术学院,107,112,42,60,66,51,78,31,33,四川,2020,403,438
桂林理工大学,暨南大学,141,51,150,32,68,38,78,89,52,山东,2018,561,480
贵州中医药大学时珍学院,湖北医药学院药护学院,97,101,106,39,78,41,67,78,38,宁夏,2022,487,462
山东大学（威海）,辽宁大学,109,147,125,91,43,81,79,69,40,福建,2022,569,596
广东外语外贸大学南国商学院,武汉生物工程学院,124,52,85,44,38,87,44,62,77,陕西,2023,444,430
四川工业科技学院,贵州民族大学,81,45,116,59,86,54,88,78,69,宁夏,2019,477,441
沈阳医学院,沈阳医学院,149,64,100,55,99,33,91,62,34,辽宁,2019,500,500
吉利学院,浙江海洋大学,75,141,55,35,54,55,70,89,58,四川,2019,488,415
南方医科大学,苏州科技大学,88,131,71,86,68,100,90,34,94,宁夏,2019,508,544
成都大学,山东师范大学,89,101,88,57,65,67,50,100,73,湖南,2016,501,467
齐齐哈尔大学,河北外国语学院,102,48,136,100,51,31,56,48,33,河南,2019,423,468
天津海运职业学院,成都航空职业技术学院,113,58,64,55,54,56,70,31,67,上海,2019,403,400
延安职业技术学院,广西师范大学,97,34,75,91,51,50,86,30,98,天津,2023,420,398
暨南大学,清华大学,98,109,139,47,86,81,93,97,100,湖北,2016,636,560
汕头大学,南方医科大学,99,97,149,81,46,44,39,89,71,上海,2023,544,516
广东外语外贸大学南国商学院,长江师范学院,98,53,114,65,51,49,54,91,47,青海,2023,457,430
广西师范大学,广州新华学院,107,71,62,56,76,48,77,62,33,黑龙江,2017,412,420
阿坝师范学院,四川大学锦江学院,80,45,103,61,85,97,37,80,100,青海,2025,445,471
厦门理工学院,福州大学,100,137,126,30,63,50,76,31,85,云南,2017,555,506
湖北民族大学,重庆邮电大学,108,85,132,41,56,95,81,85,32,天津,2023,523,517
广西师范大学,广州新华学院,66,68,82,91,48,65,38,95,63,广东,2022,412,420
浙江理工大学,湖北中医药大学,114,138,70,70,98,31,47,48,82,山东,2018,499,521
日照职业技术学院,重庆机电职业技术大学,69,36,114,45,83,41,59,85,50,宁夏,2016,413,388
湖北大学,韶关学院,80,106,94,98,82,60,97,52,31,河北,2019,460,520
武汉轻工大学,四川农业大学,110,141,70,49,57,70,84,64,53,河南,2021,522,497
广州航海学院,宝鸡职业技术学院,92,58,85,90,78,67,53,40,54,新疆,2017,382,470
长沙师范学院,华中农业大学,99,150,103,39,45,33,71,40,83,上海,2024,546,469
中国石油大学（北京）,重庆大学,102,101,134,70,61,97,97,95,57,浙江,2019,586,565
暨南大学,宁波大学,70,125,120,92,78,75,70,53,96,上海,2024,534,560
广东药科大学,四川轻化工大学,147,59,89,82,73,45,76,57,62,甘肃,2016,490,495
南京师范大学,南方医科大学,65,146,133,84,59,76,52,77,71,宁夏,2024,544,563
西昌学院,沈阳医学院,77,147,95,63,41,35,99,45,37,四川,2022,500,458
川北医学院,湖北大学,69,103,81,45,98,100,99,81,87,北京,2022,520,496
景德镇艺术职业大学,广东外语外贸大学南国商学院,121,69,60,55,56,65,85,60,35,重庆,2017,430,426
长沙理工大学,温州医科大学,126,73,136,31,58,90,68,78,91,吉林,2020,572,514
韶关学院,华北水利水电大学,79,46,113,72,95,55,36,65,90,河南,2017,429,460
广州大学,湘潭大学,142,92,90,66,71,75,77,57,67,吉林,2020,525,536
海南医学院,成都师范学院,88,99,58,83,76,79,82,52,99,河北,2020,478,483
湖北第二师范学院,成都东软学院,103,73,120,96,49,45,36,34,85,安徽,2022,451,486
贵州师范大学,重庆人文科技学院,150,57,77,69,60,80,36,57,66,广西,2018,443,493
上海财经大学,宁波大学,140,86,134,95,91,79,31,44,99,内蒙古,2022,534,625
成都航空职业技术学院,武汉纺织大学外经贸学院,139,64,65,35,31,68,79,51,41,西藏,2023,439,402
